minute_utc,utc_date,utc_hour,session,symbol,ftmo_symbol,ftmo_tick_time_msc,ftmo_server_tick_time_msc,ftmo_bid,ftmo_ask,ftmo_spread_bps,dxz_symbol,dxz_tick_time_msc,dxz_server_tick_time_msc,dxz_bid,dxz_ask,dxz_spread_bps,ftmo_minus_dxz_bps
2026-09-18T00:00:00Z,2026-09-18,0,ASIA,EURUSD,EURUSD,1789689600165,1789700400165,1.14758,1.14758,0.0,EURUSD,1789689600199,1789700400199,1.14751,1.14754,0.26143221,-0.26143221
2026-09-18T00:00:00Z,2026-09-18,0,ASIA,GBPUSD,GBPUSD,1789689600015,1789700400015,1.33559,1.33564,0.37435938,GBPUSD,1789689600048,1789700400048,1.33554,1.33561,0.52411883,-0.14975945
2026-09-18T00:00:00Z,2026-09-18,0,ASIA,USDCAD,USDCAD,1789689600162,1789700400162,1.39904,1.39911,0.50033058,USDCAD,1789689600500,1789700400500,1.39913,1.39919,0.42882873,0.07150185
2026-09-18T00:00:00Z,2026-09-18,0,ASIA,USDJPY,USDJPY,1789689600163,1789700400163,156.151,156.159,0.51231149,USDJPY,1789689600049,1789700400049,156.162,156.169,0.44824241,0.06406908
2026-09-18T00:00:00Z,2026-09-18,0,ASIA,XAUUSD,XAUUSD,1789689600162,1789700400162,4345.94,4346.44,1.15043291,XAUUSD,1789689600249,1789700400249,4346.13,4346.73,1.38044326,-0.23001035
2026-09-18T00:01:00Z,2026-09-18,0,ASIA,EURUSD,EURUSD,1789689660035,1789700460035,1.14744,1.14748,0.34859603,EURUSD,1789689661235,1789700461235,1.14745,1.14748,0.26144588,0.08715015
2026-09-18T00:01:00Z,2026-09-18,0,ASIA,GBPUSD,GBPUSD,1789689662258,1789700462258,1.33556,1.33559,0.22462235,GBPUSD,1789689660134,1789700460134,1.33555,1.33562,0.5241149,-0.29949255
2026-09-18T00:01:00Z,2026-09-18,0,ASIA,USDCAD,USDCAD,1789689660457,1789700460457,1.39914,1.39921,0.50029482,USDCAD,1789689660336,1789700460336,1.39914,1.39921,0.50029482,0.0
2026-09-18T00:01:00Z,2026-09-18,0,ASIA,USDJPY,USDJPY,1789689660034,1789700460034,156.175,156.183,0.51223276,USDJPY,1789689660336,1789700460336,156.168,156.177,0.57628584,-0.06405308
2026-09-18T00:01:00Z,2026-09-18,0,ASIA,XAUUSD,XAUUSD,1789689660008,1789700460008,4342.14,4342.64,1.15143964,XAUUSD,1789689660033,1789700460033,4342.81,4343.41,1.38149851,-0.23005887
2026-09-18T00:02:00Z,2026-09-18,0,ASIA,EURUSD,EURUSD,1789689720762,1789700520762,1.1476,1.14765,0.43568239,EURUSD,1789689721189,1789700521189,1.14759,1.14763,0.34855047,0.08713192
2026-09-18T00:02:00Z,2026-09-18,0,ASIA,GBPUSD,GBPUSD,1789689720307,1789700520307,1.33576,1.33579,0.22458872,GBPUSD,1789689720587,1789700520587,1.3357299999999999,1.3357999999999999,0.52404427,-0.29945555
2026-09-18T00:02:00Z,2026-09-18,0,ASIA,USDCAD,USDCAD,1789689720456,1789700520456,1.39903,1.3991,0.50033415,USDCAD,1789689720139,1789700520139,1.39901,1.3991,0.64329136,-0.14295721
2026-09-18T00:02:00Z,2026-09-18,0,ASIA,USDJPY,USDJPY,1789689720308,1789700520308,156.148,156.151,0.19212357,USDJPY,1789689720988,1789700520988,156.138,156.146,0.51235414,-0.32023057
2026-09-18T00:02:00Z,2026-09-18,0,ASIA,XAUUSD,XAUUSD,1789689720308,1789700520308,4342.67,4343.17,1.15129913,XAUUSD,1789689720038,1789700520038,4342.34,4342.89,1.26651799,-0.11521886
2026-09-18T00:03:00Z,2026-09-18,0,ASIA,EURUSD,EURUSD,1789689780306,1789700580306,1.14765,1.14765,0.0,EURUSD,1789689780339,1789700580339,1.14764,1.14767,0.2614026,-0.2614026
2026-09-18T00:03:00Z,2026-09-18,0,ASIA,GBPUSD,GBPUSD,1789689780155,1789700580155,1.33583,1.33586,0.22457695,GBPUSD,1789689780038,1789700580038,1.33583,1.3359,0.52400505,-0.29942809
2026-09-18T00:03:00Z,2026-09-18,0,ASIA,USDCAD,USDCAD,1789689780009,1789700580009,1.39901,1.39908,0.5003413,USDCAD,1789689781592,1789700581592,1.399,1.39908,0.57182068,-0.07147937
2026-09-18T00:03:00Z,2026-09-18,0,ASIA,USDJPY,USDJPY,1789689782256,1789700582256,156.147,156.15,0.1921248,USDJPY,1789689780188,1789700580188,156.139,156.148,0.57639287,-0.38426807
2026-09-18T00:03:00Z,2026-09-18,0,ASIA,XAUUSD,XAUUSD,1789689780009,1789700580009,4343.05,4343.55,1.1511984,XAUUSD,1789689780389,1789700580389,4343.21,4343.76,1.2662643,-0.1150659
2026-09-18T00:04:00Z,2026-09-18,0,ASIA,EURUSD,EURUSD,1789689840011,1789700640011,1.14758,1.14758,0.0,EURUSD,1789689840147,1789700640147,1.14756,1.14759,0.26142082,-0.26142082
2026-09-18T00:04:00Z,2026-09-18,0,ASIA,GBPUSD,GBPUSD,1789689841208,1789700641208,1.33574,1.3357700000000001,0.22459208,GBPUSD,1789689840048,1789700640048,1.3357,1.33579,0.6737813,-0.44918921
2026-09-18T00:04:00Z,2026-09-18,0,ASIA,USDCAD,USDCAD,1789689841358,1789700641358,1.39908,1.3991500000000001,0.50031627,USDCAD,1789689843152,1789700643152,1.3991500000000001,1.39921,0.4288226,0.07149368
2026-09-18T00:04:00Z,2026-09-18,0,ASIA,USDJPY,USDJPY,1789689840158,1789700640158,156.178,156.181,0.19208667,USDJPY,1789689840348,1789700640348,156.176,156.184,0.51222948,-0.32014281
2026-09-18T00:04:00Z,2026-09-18,0,ASIA,XAUUSD,XAUUSD,1789689840154,1789700640154,4343.68,4344.18,1.15103144,XAUUSD,1789689840397,1789700640397,4343.68,4344.23,1.2661273,-0.11509586
2026-09-18T00:05:00Z,2026-09-18,0,ASIA,EURUSD,EURUSD,1789689900760,1789700700760,1.1476600000000001,1.14767,0.08713344,EURUSD,1789689900338,1789700700338,1.14764,1.14767,0.2614026,-0.17426916
2026-09-18T00:05:00Z,2026-09-18,0,ASIA,GBPUSD,GBPUSD,1789689900157,1789700700157,1.33583,1.33587,0.29943482,GBPUSD,1789689900038,1789700700038,1.3357700000000001,1.33585,0.59888757,-0.29945275
2026-09-18T00:05:00Z,2026-09-18,0,ASIA,USDCAD,USDCAD,1789689900760,1789700700760,1.39912,1.39919,0.50030197,USDCAD,1789689900038,1789700700038,1.39911,1.3992,0.64324539,-0.14294342
2026-09-18T00:05:00Z,2026-09-18,0,ASIA,USDJPY,USDJPY,1789689900454,1789700700454,156.156,156.159,0.19211373,USDJPY,1789689900089,1789700700089,156.156,156.166,0.64036475,-0.44825102
2026-09-18T00:05:00Z,2026-09-18,0,ASIA,XAUUSD,XAUUSD,1789689900161,1789700700161,4344.71,4345.21,1.15075858,XAUUSD,1789689900338,1789700700338,4344.87,4345.42,1.26578054,-0.11502196
2026-09-18T00:06:00Z,2026-09-18,0,ASIA,EURUSD,EURUSD,1789689960023,1789700760023,1.14767,1.1476899999999999,0.1742646,EURUSD,1789689960242,1789700760242,1.1476899999999999,1.14771,0.17426157,3.04e-06
2026-09-18T00:06:00Z,2026-09-18,0,ASIA,GBPUSD,GBPUSD,1789689960012,1789700760012,1.33583,1.33586,0.22457695,GBPUSD,1789689960043,1789700760043,1.33583,1.33591,0.59886067,-0.37428371
2026-09-18T00:06:00Z,2026-09-18,0,ASIA,USDCAD,USDCAD,1789689960012,1789700760012,1.39917,1.39924,0.50028409,USDCAD,1789689960593,1789700760593,1.39913,1.39923,0.71470433,-0.21442024
2026-09-18T00:06:00Z,2026-09-18,0,ASIA,USDJPY,USDJPY,1789689960012,1789700760012,156.177,156.18,0.1920879,USDJPY,1789689960093,1789700760093,156.168,156.177,0.57628584,-0.38419794
2026-09-18T00:06:00Z,2026-09-18,0,ASIA,XAUUSD,XAUUSD,1789689960158,1789700760158,4343.62,4344.12,1.15104734,XAUUSD,1789689960043,1789700760043,4344.73,4345.28,1.26582133,-0.11477399
2026-09-18T00:07:00Z,2026-09-18,0,ASIA,EURUSD,EURUSD,1789690022708,1789700822708,1.14772,1.14772,0.0,EURUSD,1789690020250,1789700820250,1.14773,1.14776,0.2613821,-0.2613821
2026-09-18T00:07:00Z,2026-09-18,0,ASIA,GBPUSD,GBPUSD,1789690020022,1789700820022,1.33589,1.33594,0.37427531,GBPUSD,1789690020049,1789700820049,1.33589,1.33596,0.52398151,-0.1497062
2026-09-18T00:07:00Z,2026-09-18,0,ASIA,USDCAD,USDCAD,1789690020303,1789700820303,1.39923,1.3993,0.50026264,USDCAD,1789690020249,1789700820249,1.39919,1.3992499999999999,0.42881034,0.0714523
2026-09-18T00:07:00Z,2026-09-18,0,ASIA,USDJPY,USDJPY,1789690020754,1789700820754,156.167,156.17,0.1921002,USDJPY,1789690020300,1789700820300,156.161,156.17,0.57631167,-0.38421147
