"audit_id","chart_id","name","type","type_name","scope","subwindow","x","y","width","height","anchor","anchor_name","corner","corner_name","angle","bbox_available","bbox_left","bbox_top","bbox_right","bbox_bottom","text","tooltip","read_complete"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_accent","110","OBJ_RECTANGLE_LABEL","overlay","0","963","154","2","22","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","963.00","154.00","965.00","176.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_card","110","OBJ_RECTANGLE_LABEL","overlay","0","963","154","148","22","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","963.00","154.00","1111.00","176.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_join","110","OBJ_RECTANGLE_LABEL","overlay","0","957","165","6","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","957.00","165.00","963.00","166.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_leader_h","110","OBJ_RECTANGLE_LABEL","overlay","0","951","165","6","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","951.00","165.00","957.00","166.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_leader_v","110","OBJ_RECTANGLE_LABEL","overlay","0","957","165","1","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","957.00","165.00","958.00","166.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_line","1","OBJ_HLINE","overlay","0","","","","","","N/A","","N/A","","0","","","","","","Last observed bid 1.16273 | 2026.09.08 02:28:22 BT","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_text","102","OBJ_LABEL","overlay","0","971","157","63","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","971.00","157.00","1034.00","172.00","BID 1.16273","BID 1.16273","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_context","102","OBJ_LABEL","overlay","0","368","46","198","13","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","368.00","46.00","566.00","59.00","PRICE CHART  /  STRATEGY TIMEFRAME","PRICE CHART  /  STRATEGY TIMEFRAME","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_identity","102","OBJ_LABEL","overlay","0","368","26","84","17","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","368.00","26.00","452.00","43.00","EURUSD  /  D1","EURUSD  /  D1","1"
"40880270757609_2097130515","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_observation","102","OBJ_LABEL","overlay","0","897","28","183","13","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","897.00","28.00","1080.00","41.00","Bid observed 2026.09.08 02:28:22 BT","Bid observed 2026.09.08 02:28:22 BT","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_bg","110","OBJ_RECTANGLE_LABEL","dashboard","0","8","8","336","214","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","8.00","8.00","344.00","222.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_design_version","103","OBJ_BUTTON","dashboard","0","234","18","26","20","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","234.00","18.00","260.00","38.00","02","Switch to Design 1 · presentation only","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_footer","102","OBJ_LABEL","dashboard","0","22","198","105","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","22.00","198.00","127.00","213.00","© QuantMechanica","© QuantMechanica · Console 02 · EA v5.0; 6 PASS · 1 WAIT","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_footer_rule","110","OBJ_RECTANGLE_LABEL","dashboard","0","20","188","312","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","20.00","188.00","332.00","189.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_gate_counts","102","OBJ_LABEL","dashboard","0","330","198","82","15","6","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","248.00","198.00","330.00","213.00","6 PASS · 1 WAIT","6 PASS · 1 WAIT","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_instrument","102","OBJ_LABEL","dashboard","0","22","43","109","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","22.00","43.00","131.00","58.00","EURUSD · D1 · DEMO","EURUSD · D1 · DEMO","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_state_accent","110","OBJ_RECTANGLE_LABEL","dashboard","0","20","64","3","66","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","20.00","64.00","23.00","130.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_state_bg","110","OBJ_RECTANGLE_LABEL","dashboard","0","20","64","312","66","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","20.00","64.00","332.00","130.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_state_headline","102","OBJ_LABEL","dashboard","0","32","70","142","20","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","32.00","70.00","174.00","90.00","WAITING FOR SETUP","WAITING FOR SETUP","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_state_next","102","OBJ_LABEL","dashboard","0","32","111","256","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","32.00","111.00","288.00","126.00","Next D1 evaluation in 21:31 | 2026-09-09 00:00 BT","Next D1 evaluation in 21:31 | 2026-09-09 00:00 BT","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_state_reason","102","OBJ_LABEL","dashboard","0","32","93","197","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","32.00","93.00","229.00","108.00","Squeeze evaluated on the next D1 bar","Squeeze evaluated on the next D1 bar","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_summary_divider","110","OBJ_RECTANGLE_LABEL","dashboard","0","176","146","1","28","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","176.00","146.00","177.00","174.00","","
","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_summary_surface","110","OBJ_RECTANGLE_LABEL","dashboard","0","20","138","312","44","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","20.00","138.00","332.00","182.00","","Today 0 closed | net USD 0,00; Week 0 closed | net USD 0,00","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_today","102","OBJ_LABEL","dashboard","0","30","161","71","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","30.00","161.00","101.00","176.00","net USD 0,00","net USD 0,00","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_today_label","102","OBJ_LABEL","dashboard","0","30","143","84","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","30.00","143.00","114.00","158.00","Today · 0 closed","Today · 0 closed","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_view","103","OBJ_BUTTON","dashboard","0","266","16","66","24","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","266.00","16.00","332.00","40.00","Compact","OHLC Daily Squeeze Reversal · D1
Console 02. View: FULL > COMPACT > MINIMAL. Presentation only.","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_week","102","OBJ_LABEL","dashboard","0","186","161","71","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","186.00","161.00","257.00","176.00","net USD 0,00","net USD 0,00","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_week_label","102","OBJ_LABEL","dashboard","0","186","143","81","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","186.00","143.00","267.00","158.00","Week · 0 closed","Week · 0 closed","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_word_mechanica","102","OBJ_LABEL","dashboard","0","70","16","83","23","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","70.00","16.00","153.00","39.00","Mechanica","Mechanica","1"
"40880270757609_2097130515","40880270757609","QM_SIG_11421_114210000_word_quant","102","OBJ_LABEL","dashboard","0","22","16","48","23","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","22.00","16.00","70.00","39.00","Quant","Quant","1"
