"audit_id","chart_id","name","type","type_name","scope","subwindow","x","y","width","height","anchor","anchor_name","corner","corner_name","angle","bbox_available","bbox_left","bbox_top","bbox_right","bbox_bottom","text","tooltip","read_complete"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_accent","110","OBJ_RECTANGLE_LABEL","overlay","0","963","154","2","22","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","963.00","154.00","965.00","176.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_card","110","OBJ_RECTANGLE_LABEL","overlay","0","963","154","148","22","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","963.00","154.00","1111.00","176.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_join","110","OBJ_RECTANGLE_LABEL","overlay","0","957","165","6","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","957.00","165.00","963.00","166.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_leader_h","110","OBJ_RECTANGLE_LABEL","overlay","0","951","165","6","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","951.00","165.00","957.00","166.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_leader_v","110","OBJ_RECTANGLE_LABEL","overlay","0","957","165","1","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","957.00","165.00","958.00","166.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_line","1","OBJ_HLINE","overlay","0","","","","","","N/A","","N/A","","0","","","","","","Last observed bid 1.16275 | 2026.09.08 02:29:32 BT","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_bid_text","102","OBJ_LABEL","overlay","0","971","157","63","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","971.00","157.00","1034.00","172.00","BID 1.16275","BID 1.16275","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_context","102","OBJ_LABEL","overlay","0","336","46","198","13","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","336.00","46.00","534.00","59.00","PRICE CHART  /  STRATEGY TIMEFRAME","PRICE CHART  /  STRATEGY TIMEFRAME","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_identity","102","OBJ_LABEL","overlay","0","336","26","84","17","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","336.00","26.00","420.00","43.00","EURUSD  /  D1","EURUSD  /  D1","1"
"40880270757609_2097192203","40880270757609","QM_CHART_V2_QM_SIG_11421_114210000_observation","102","OBJ_LABEL","overlay","0","897","28","183","13","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","897.00","28.00","1080.00","41.00","Bid observed 2026.09.08 02:29:32 BT","Bid observed 2026.09.08 02:29:32 BT","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_bg","110","OBJ_RECTANGLE_LABEL","dashboard","0","8","8","304","164","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","8.00","8.00","312.00","172.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_design_version","103","OBJ_BUTTON","dashboard","0","202","18","26","20","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","202.00","18.00","228.00","38.00","02","Switch to Design 1 · presentation only","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_footer","102","OBJ_LABEL","dashboard","0","22","148","105","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","22.00","148.00","127.00","163.00","© QuantMechanica","© QuantMechanica · Console 02 · EA v5.0; 6 PASS · 1 WAIT","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_footer_rule","110","OBJ_RECTANGLE_LABEL","dashboard","0","20","138","280","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","20.00","138.00","300.00","139.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_gate_counts","102","OBJ_LABEL","dashboard","0","298","148","82","15","6","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","216.00","148.00","298.00","163.00","6 PASS · 1 WAIT","6 PASS · 1 WAIT","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_instrument","102","OBJ_LABEL","dashboard","0","22","43","109","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","22.00","43.00","131.00","58.00","EURUSD · D1 · DEMO","EURUSD · D1 · DEMO","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_state_accent","110","OBJ_RECTANGLE_LABEL","dashboard","0","20","64","3","66","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","20.00","64.00","23.00","130.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_state_bg","110","OBJ_RECTANGLE_LABEL","dashboard","0","20","64","280","66","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","20.00","64.00","300.00","130.00","","
","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_state_headline","102","OBJ_LABEL","dashboard","0","32","70","142","20","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","32.00","70.00","174.00","90.00","WAITING FOR SETUP","WAITING FOR SETUP","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_state_next","102","OBJ_LABEL","dashboard","0","32","111","252","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","32.00","111.00","284.00","126.00","Next D1 evaluation in 21:30 | 2026-09-09 00:00 …","Next D1 evaluation in 21:30 | 2026-09-09 00:00 BT","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_state_reason","102","OBJ_LABEL","dashboard","0","32","93","197","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","32.00","93.00","229.00","108.00","Squeeze evaluated on the next D1 bar","Squeeze evaluated on the next D1 bar","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_view","103","OBJ_BUTTON","dashboard","0","234","16","66","24","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","234.00","16.00","300.00","40.00","Minimal","OHLC Daily Squeeze Reversal · D1
Console 02. View: FULL > COMPACT > MINIMAL. Presentation only.","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_word_mechanica","102","OBJ_LABEL","dashboard","0","70","16","83","23","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","70.00","16.00","153.00","39.00","Mechanica","Mechanica","1"
"40880270757609_2097192203","40880270757609","QM_SIG_11421_114210000_word_quant","102","OBJ_LABEL","dashboard","0","22","16","48","23","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","22.00","16.00","70.00","39.00","Quant","Quant","1"
