"audit_id","chart_id","name","type","type_name","scope","subwindow","x","y","width","height","anchor","anchor_name","corner","corner_name","angle","bbox_available","bbox_left","bbox_top","bbox_right","bbox_bottom","text","tooltip","read_complete"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_bg","110","OBJ_RECTANGLE_LABEL","dashboard","0","8","8","416","364","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","8.00","8.00","424.00","372.00","","
","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_design_version","103","OBJ_BUTTON","dashboard","0","304","15","28","24","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","304.00","15.00","332.00","39.00","01","Switch to Design 2 - presentation only","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_footer","102","OBJ_LABEL","dashboard","0","24","348","126","13","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","348.00","150.00","361.00","© QuantMechanica  v5.0","© QuantMechanica  v5.0","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_footer_rule","110","OBJ_RECTANGLE_LABEL","dashboard","0","20","339","392","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","20.00","339.00","412.00","340.00","","
","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_module","102","OBJ_LABEL","dashboard","0","24","42","103","13","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","42.00","127.00","55.00","STRATEGY CONSOLE","STRATEGY CONSOLE","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_next","103","OBJ_BUTTON","dashboard","0","384","344","28","22","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","384.00","344.00","412.00","366.00",">","Next complete page","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_page_number","102","OBJ_LABEL","dashboard","0","379","348","23","15","6","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","356.00","348.00","379.00","363.00","1 / 2","1 / 2","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_previous","103","OBJ_BUTTON","dashboard","0","298","344","28","22","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","298.00","344.00","326.00","366.00","<","Previous complete page","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_0_label","102","OBJ_LABEL","dashboard","0","24","193","55","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","193.00","79.00","208.00","Next trade","Next trade","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_0_rule","110","OBJ_RECTANGLE_LABEL","dashboard","0","24","212","384","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","212.00","408.00","213.00","","
","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_0_value","102","OBJ_LABEL","dashboard","0","408","193","101","15","6","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","307.00","193.00","408.00","208.00","0,31 % | USD 312,50","0,31 % | USD 312,50","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_1_label","102","OBJ_LABEL","dashboard","0","24","219","79","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","219.00","103.00","234.00","Position SL risk","Position SL risk","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_1_rule","110","OBJ_RECTANGLE_LABEL","dashboard","0","24","238","384","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","238.00","408.00","239.00","","
","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_1_value","102","OBJ_LABEL","dashboard","0","408","219","89","15","6","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","319.00","219.00","408.00","234.00","0,00 % | USD 0,00","0,00 % | USD 0,00","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_2_label","102","OBJ_LABEL","dashboard","0","24","245","53","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","245.00","77.00","260.00","Stop basis","Stop basis","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_2_rule","110","OBJ_RECTANGLE_LABEL","dashboard","0","24","264","384","1","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","264.00","408.00","265.00","","
","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_2_value","102","OBJ_LABEL","dashboard","0","408","245","163","15","6","ANCHOR_RIGHT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","245.00","245.00","408.00","260.00","Prior range x 1,50 | cap 80,0 pip","Prior range x 1,50 | cap 80,0 pip","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_3_a_chip","110","OBJ_RECTANGLE_LABEL","dashboard","0","166","285","44","22","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","166.00","285.00","210.00","307.00","","
","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_3_a_label","102","OBJ_LABEL","dashboard","0","24","281","52","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","281.00","76.00","296.00","Execution","Execution","1"
"40880270757609_2097024718","40880270757609","QM_SIG_11421_114210000_row_3_a_reason","102","OBJ_LABEL","dashboard","0","24","296","88","15","0","ANCHOR_LEFT_UPPER","0","CORNER_LEFT_UPPER","0.00000000","1","24.00","296.00","112.00","311.00","Permission open","Permission open","1"
