date,item,vendor,category,amount_eur,note,evidence_link,episode
2026-04-21,Hetzner AX42-U setup fee (one-time),Hetzner,Infrastructure,128.40,"Customized AX42-U dedicated server with 1 TB NVMe add-on; private SKU + order detail held internally.",.private/VPS_SERVER_RECORD.md,EP02
2026-04-21,Hetzner AX42-U first month,Hetzner,Infrastructure,75.60,"Monthly server cost including primary IPv4 and 1 TB NVMe add-on; billed monthly.",.private/VPS_SERVER_RECORD.md,EP02
