program_id,mode,scope,real_cells,matched_cheap_cells,spearman_net_profit,spearman_costed_return_maxdd,plateau_top5_overlap,plateau_top10_overlap,net_sign_agreement,top50_false_negative_rate,top30_false_negative_rate,status
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,minute_ohlc,2019,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,minute_ohlc,2020,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,minute_ohlc,2021,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,minute_ohlc,2022,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,minute_ohlc,2023,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,minute_ohlc,2024,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,minute_ohlc,2025,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,minute_ohlc,pooled,320,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,generated_every_tick,2019,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,generated_every_tick,2020,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,generated_every_tick,2021,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,generated_every_tick,2022,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,generated_every_tick,2023,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,generated_every_tick,2024,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,generated_every_tick,2025,45,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,generated_every_tick,pooled,320,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,open_prices,2019,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,open_prices,2020,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,open_prices,2021,46,0,,,,,,,,NOT_MEASURED
WINSWEEP_QM5_41398_USDJPY_DWX_2019_2025,open_prices,2022,46,0,,,,,,,,NOT_MEASURED
