broker_epoch,utc,tick_volume,official_band,raw_native_band
1744886700,2025-04-17T07:45:00+00:00,685,False,False
1744887000,2025-04-17T07:50:00+00:00,757,False,False
1744887300,2025-04-17T07:55:00+00:00,796,False,False
1744887600,2025-04-17T08:00:00+00:00,832,False,False
1744887900,2025-04-17T08:05:00+00:00,646,False,False
1744888200,2025-04-17T08:10:00+00:00,653,False,False
1744888500,2025-04-17T08:15:00+00:00,591,False,False
1744888800,2025-04-17T08:20:00+00:00,893,False,False
1744889100,2025-04-17T08:25:00+00:00,615,False,False
1744889400,2025-04-17T08:30:00+00:00,645,False,False
1744889700,2025-04-17T08:35:00+00:00,640,False,False
1744890000,2025-04-17T08:40:00+00:00,684,False,False
1744890300,2025-04-17T08:45:00+00:00,569,False,False
1744890600,2025-04-17T08:50:00+00:00,602,False,False
1744890900,2025-04-17T08:55:00+00:00,655,False,False
1744891200,2025-04-17T09:00:00+00:00,634,False,False
1744891500,2025-04-17T09:05:00+00:00,540,False,False
1744891800,2025-04-17T09:10:00+00:00,526,False,False
1744892100,2025-04-17T09:15:00+00:00,570,False,False
1744892400,2025-04-17T09:20:00+00:00,534,False,False
1744892700,2025-04-17T09:25:00+00:00,671,False,False
1744893000,2025-04-17T09:30:00+00:00,567,False,False
1744893300,2025-04-17T09:35:00+00:00,537,False,False
1744893600,2025-04-17T09:40:00+00:00,588,False,False
1744893900,2025-04-17T09:45:00+00:00,567,False,False
1744894200,2025-04-17T09:50:00+00:00,572,False,False
1744894500,2025-04-17T09:55:00+00:00,691,False,False
1744894800,2025-04-17T10:00:00+00:00,683,False,False
1744895100,2025-04-17T10:05:00+00:00,675,False,False
1744895400,2025-04-17T10:10:00+00:00,946,False,False
1744895700,2025-04-17T10:15:00+00:00,940,False,False
1744896000,2025-04-17T10:20:00+00:00,751,False,False
1744896300,2025-04-17T10:25:00+00:00,649,False,False
1744896600,2025-04-17T10:30:00+00:00,680,False,False
1744896900,2025-04-17T10:35:00+00:00,626,False,False
1744897200,2025-04-17T10:40:00+00:00,553,False,False
1744897500,2025-04-17T10:45:00+00:00,630,False,False
1744897800,2025-04-17T10:50:00+00:00,700,False,False
1744898100,2025-04-17T10:55:00+00:00,740,False,False
1744898400,2025-04-17T11:00:00+00:00,754,False,False
1744898700,2025-04-17T11:05:00+00:00,564,False,False
1744899000,2025-04-17T11:10:00+00:00,559,False,False
1744899300,2025-04-17T11:15:00+00:00,687,False,False
1744899600,2025-04-17T11:20:00+00:00,598,False,False
1744899900,2025-04-17T11:25:00+00:00,453,False,False
1744900200,2025-04-17T11:30:00+00:00,516,False,False
1744900500,2025-04-17T11:35:00+00:00,435,False,False
1744900800,2025-04-17T11:40:00+00:00,494,False,False
1744901100,2025-04-17T11:45:00+00:00,472,False,False
1744901400,2025-04-17T11:50:00+00:00,492,False,False
1744901700,2025-04-17T11:55:00+00:00,682,False,False
1744902000,2025-04-17T12:00:00+00:00,988,False,False
1744902300,2025-04-17T12:05:00+00:00,771,False,False
1744902600,2025-04-17T12:10:00+00:00,782,False,False
1744902900,2025-04-17T12:15:00+00:00,1406,False,False
1744903200,2025-04-17T12:20:00+00:00,1445,False,False
1744903500,2025-04-17T12:25:00+00:00,1026,False,False
1744903800,2025-04-17T12:30:00+00:00,1226,True,False
1744904100,2025-04-17T12:35:00+00:00,1167,True,False
1744904400,2025-04-17T12:40:00+00:00,1073,True,False
1744904700,2025-04-17T12:45:00+00:00,911,True,False
1744905000,2025-04-17T12:50:00+00:00,1090,True,False
1744905300,2025-04-17T12:55:00+00:00,1511,True,False
1744905600,2025-04-17T13:00:00+00:00,1463,True,False
1744905900,2025-04-17T13:05:00+00:00,1323,False,False
1744906200,2025-04-17T13:10:00+00:00,1252,False,False
1744906500,2025-04-17T13:15:00+00:00,1038,False,False
1744906800,2025-04-17T13:20:00+00:00,1101,False,False
1744907100,2025-04-17T13:25:00+00:00,873,False,False
1744907400,2025-04-17T13:30:00+00:00,1254,False,False
1744907700,2025-04-17T13:35:00+00:00,1132,False,False
1744908000,2025-04-17T13:40:00+00:00,946,False,False
1744908300,2025-04-17T13:45:00+00:00,1078,False,False
1744908600,2025-04-17T13:50:00+00:00,1116,False,False
1744908900,2025-04-17T13:55:00+00:00,1040,False,False
1744909200,2025-04-17T14:00:00+00:00,894,False,False
1744909500,2025-04-17T14:05:00+00:00,876,False,False
1744909800,2025-04-17T14:10:00+00:00,733,False,False
1744910100,2025-04-17T14:15:00+00:00,901,False,False
1744910400,2025-04-17T14:20:00+00:00,987,False,False
1744910700,2025-04-17T14:25:00+00:00,821,False,False
1744911000,2025-04-17T14:30:00+00:00,936,False,False
1744911300,2025-04-17T14:35:00+00:00,1034,False,False
1744911600,2025-04-17T14:40:00+00:00,949,False,False
1744911900,2025-04-17T14:45:00+00:00,822,False,False
1744912200,2025-04-17T14:50:00+00:00,1063,False,False
1744912500,2025-04-17T14:55:00+00:00,1878,False,False
1744912800,2025-04-17T15:00:00+00:00,1221,False,False
1744913100,2025-04-17T15:05:00+00:00,820,False,False
1744913400,2025-04-17T15:10:00+00:00,812,False,False
1744913700,2025-04-17T15:15:00+00:00,700,False,False
1744914000,2025-04-17T15:20:00+00:00,717,False,False
1744914300,2025-04-17T15:25:00+00:00,612,False,False
1744914600,2025-04-17T15:30:00+00:00,635,False,True
1744914900,2025-04-17T15:35:00+00:00,692,False,True
1744915200,2025-04-17T15:40:00+00:00,552,False,True
1744915500,2025-04-17T15:45:00+00:00,721,False,True
1744915800,2025-04-17T15:50:00+00:00,786,False,True
1744916100,2025-04-17T15:55:00+00:00,784,False,True
1744916400,2025-04-17T16:00:00+00:00,905,False,True
1744916700,2025-04-17T16:05:00+00:00,1313,False,False
1744917000,2025-04-17T16:10:00+00:00,933,False,False
1744917300,2025-04-17T16:15:00+00:00,712,False,False
1744917600,2025-04-17T16:20:00+00:00,652,False,False
1744917900,2025-04-17T16:25:00+00:00,677,False,False
1744918200,2025-04-17T16:30:00+00:00,661,False,False
1744918500,2025-04-17T16:35:00+00:00,833,False,False
1744918800,2025-04-17T16:40:00+00:00,1079,False,False
1744919100,2025-04-17T16:45:00+00:00,600,False,False
1744919400,2025-04-17T16:50:00+00:00,526,False,False
1744919700,2025-04-17T16:55:00+00:00,782,False,False
1744920000,2025-04-17T17:00:00+00:00,647,False,False
1744920300,2025-04-17T17:05:00+00:00,407,False,False
1744920600,2025-04-17T17:10:00+00:00,335,False,False
1744920900,2025-04-17T17:15:00+00:00,286,False,False
1744921200,2025-04-17T17:20:00+00:00,361,False,False
1744921500,2025-04-17T17:25:00+00:00,396,False,False
1744921800,2025-04-17T17:30:00+00:00,353,False,False
1744922100,2025-04-17T17:35:00+00:00,418,False,False
1744922400,2025-04-17T17:40:00+00:00,426,False,False
1744922700,2025-04-17T17:45:00+00:00,512,False,False
