event_id,cluster_id,currency,era,symbol,currency_leg,trade_dir,cluster_trade_dir,entry_delay_min,entry_bar_epoch,entry_lag_sec,entry_price,px_p5,px_p15,px_p30,px_p60,px_p90,px_p120,ret_p5,ret_p15,ret_p30,ret_p60,ret_p90,ret_p120,ret_raw_p5,ret_raw_p15,ret_raw_p30,ret_raw_p60,ret_raw_p90,ret_raw_p120,mae_p90_bp,mfe_p90_bp,atr_m5_bp,bars_missing,session_intact,window_ok,weekday,broker_hour,minute_of_hour
002fdbe4ea1f,30250050d88e,USD,IS,EURUSD.DWX,-1,1,-1,10,1536334800,0,1.15831,1.15876,1.15755,1.15697,1.15832,1.15839,1.1578,3.884970345,-6.561283249,-11.56857836,0.08633267433,0.6906613946,-4.402966391,3.884970345,-6.561283249,-11.56857836,0.08633267433,0.6906613946,-4.402966391,-18.47519231,13.1225665,5.16762722,0,1,1,4,15,40
002fdbe4ea1f,30250050d88e,USD,IS,EURUSD.DWX,-1,1,-1,15,1536335100,0,1.15875,1.15769,1.15665,1.15741,1.15795,1.1583,1.15764,-9.147788565,-18.12297735,-11.56418554,-6.90399137,-3.883495146,-9.579288026,-9.147788565,-18.12297735,-11.56418554,-6.90399137,-3.883495146,-9.579288026,-22.26537217,0.5177993528,5.165664971,0,1,1,4,15,45
002fdbe4ea1f,30250050d88e,USD,IS,USDJPY.DWX,1,-1,1,5,1536334500,0,110.982,110.948,110.974,111,110.983,111.08,111.211,3.063559857,0.7208376133,-1.62188463,-0.09010470166,-8.830260763,-20.63397668,-3.063559857,-0.7208376133,1.62188463,0.09010470166,8.830260763,20.63397668,-10.8125642,6.217224415,2.606600298,0,1,1,4,15,35
002fdbe4ea1f,30250050d88e,USD,IS,USDJPY.DWX,1,-1,1,10,1536334800,0,110.946,110.977,111.045,110.969,110.978,111.094,111.178,-2.79415211,-8.923259964,-2.073080598,-2.884286049,-13.33982298,-20.91107386,2.79415211,8.923259964,2.073080598,2.884286049,13.33982298,20.91107386,-15.68330539,2.974419988,2.607446093,0,1,1,4,15,40
002fdbe4ea1f,30250050d88e,USD,IS,USDJPY.DWX,1,-1,1,15,1536335100,0,110.976,110.974,111.041,110.991,110.983,111.138,111.195,0.1802191465,-5.857122261,-1.351643599,-0.6307670127,-14.59775087,-19.73399654,-0.1802191465,5.857122261,1.351643599,0.6307670127,14.59775087,19.73399654,-15.67906574,4.775807382,2.606741226,0,1,1,4,15,45
03b559e76f68,8b688e238576,USD,OOS,EURUSD.DWX,-1,1,-1,5,1736523300,0,1.0224,1.02346,1.02475,1.02587,1.02578,1.02473,1.02606,10.36776213,22.98513302,33.93974961,33.05946792,22.78951487,35.79812207,10.36776213,22.98513302,33.93974961,33.05946792,22.78951487,35.79812207,-2.249608764,47.63302034,3.597976749,0,1,1,4,15,35
03b559e76f68,8b688e238576,USD,OOS,EURUSD.DWX,-1,1,-1,10,1736523600,0,1.02348,1.02503,1.02592,1.02455,1.02602,1.02458,1.02628,15.14440927,23.84023137,10.45452769,24.81729003,10.74764529,27.35764255,15.14440927,23.84023137,10.45452769,24.81729003,10.74764529,27.35764255,-5.373822644,37.03052331,3.59418008,0,1,1,4,15,40
03b559e76f68,8b688e238576,USD,OOS,EURUSD.DWX,-1,1,-1,15,1736523900,0,1.02505,1.02475,1.02563,1.02537,1.02722,1.02548,1.02554,-2.926686503,5.658260573,3.121798937,21.16969904,4.194917321,4.780254622,-2.926686503,5.658260573,3.121798937,21.16969904,4.194917321,4.780254622,-14.04809521,21.65748012,3.588675117,0,1,1,4,15,45
03b559e76f68,8b688e238576,USD,OOS,USDJPY.DWX,1,-1,1,5,1736523300,0,158.838,158.771,158.62,158.505,158.14,158.015,157.401,4.2181342,13.72467546,20.96475654,43.94414435,51.81379771,90.469535,-4.2181342,-13.72467546,-20.96475654,-43.94414435,-51.81379771,-90.469535,-1.762802352,67.80493333,3.80441528,0,1,1,4,15,35
03b559e76f68,8b688e238576,USD,OOS,USDJPY.DWX,1,-1,1,10,1736523600,0,158.772,158.662,158.527,158.619,158.026,157.726,157.561,6.928173733,15.43093241,9.636459829,46.98561459,65.88063386,76.27289447,-6.928173733,-15.43093241,-9.636459829,-46.98561459,-65.88063386,-76.27289447,-4.030937445,65.94361726,3.805996739,0,1,1,4,15,40
03b559e76f68,8b688e238576,USD,OOS,USDJPY.DWX,1,-1,1,15,1736523900,0,158.659,158.62,158.549,158.568,157.818,157.655,157.523,2.458101967,6.933108112,5.735571257,53.00676293,63.28036859,71.60009832,-2.458101967,-6.933108112,-5.735571257,-53.00676293,-63.28036859,-71.60009832,-7.059164624,66.49480962,3.808707444,0,1,1,4,15,45
040e63f4001e,93879a710f72,USD,IS,EURUSD.DWX,-1,1,1,5,1614958500,0,1.19071,1.19138,1.19228,1.19319,1.19276,1.19142,1.1921,5.626894878,13.18541039,20.8279094,17.21661866,5.9628289,11.67370728,5.626894878,13.18541039,20.8279094,17.21661866,5.9628289,11.67370728,-4.535109305,32.83755071,4.145185885,0,1,1,4,15,35
040e63f4001e,93879a710f72,USD,IS,EURUSD.DWX,-1,1,1,10,1614958800,0,1.19138,1.19227,1.19209,1.19338,1.19199,1.19206,1.19188,7.470328527,5.959475566,16.78725512,5.12011281,5.707666739,4.196813779,7.470328527,5.959475566,16.78725512,5.12011281,5.707666739,4.196813779,-5.875539291,27.19535329,4.142854745,0,1,1,4,15,40
040e63f4001e,93879a710f72,USD,IS,EURUSD.DWX,-1,1,1,15,1614959100,0,1.19228,1.19228,1.19177,1.19343,1.19255,1.19139,1.19189,0,-4.277518704,9.645385312,2.264568725,-7.464689502,-3.271043715,0,-4.277518704,9.645385312,2.264568725,-7.464689502,-3.271043715,-13.41966652,19.62626229,4.139727485,0,1,1,4,15,45
040e63f4001e,93879a710f72,USD,IS,USDJPY.DWX,1,-1,-1,5,1614958500,0,108.546,108.512,108.399,108.358,108.321,108.247,108.132,3.132312568,13.54264551,17.31984596,20.72853905,27.54592523,38.14051186,-3.132312568,-13.54264551,-17.31984596,-20.72853905,-27.54592523,-38.14051186,-2.763805207,37.7720045,5.12620061,0,1,1,4,15,35
040e63f4001e,93879a710f72,USD,IS,USDJPY.DWX,1,-1,-1,10,1614958800,0,108.515,108.398,108.464,108.314,108.359,108.209,108.195,10.78191955,4.699811086,18.52278487,14.37589273,28.19886652,29.48901074,-10.78191955,-4.699811086,-18.52278487,-14.37589273,-28.19886652,-29.48901074,-2.303828964,34.92604709,5.127665036,0,1,1,4,15,40
040e63f4001e,93879a710f72,USD,IS,USDJPY.DWX,1,-1,-1,15,1614959100,0,108.396,108.399,108.463,108.257,108.316,108.252,108.169,-0.2767629802,-6.181039891,12.82335142,7.380346138,13.28462305,20.94173217,0.2767629802,6.181039891,-12.82335142,-7.380346138,-13.28462305,-20.94173217,-9.225432673,23.98612495,5.133294323,0,1,1,4,15,45
05da4c09353b,2027437b1a6c,USD,IS,EURUSD.DWX,-1,-1,1,5,1641569700,0,1.13085,1.12976,1.13151,1.1303,1.13188,1.13314,1.13448,9.638767299,-5.836317814,4.863598178,-9.108192952,-20.25025423,-32.09974798,-9.638767299,5.836317814,-4.863598178,9.108192952,20.25025423,32.09974798,-23.07998408,14.41393642,3.208711525,0,1,1,4,15,35
05da4c09353b,2027437b1a6c,USD,IS,EURUSD.DWX,-1,-1,1,10,1641570000,0,1.12977,1.12987,1.13043,1.13131,1.13259,1.13358,1.13395,-0.8851359126,-5.841897023,-13.63109305,-24.96083274,-33.72367827,-36.99868115,0.8851359126,5.841897023,13.63109305,24.96083274,33.72367827,36.99868115,-34.07773264,4.337165972,3.211778883,0,1,1,4,15,40
