currency,event,raw_datetime_utc,applied_offset_min,release_utc,home_tz,home_local_hhmm,modal_home_local_hhmm,local_peak_offset_min,local_peak_ratio,local_prominent,instant_verified,void_reason
USD,Average Hourly Earnings m/m,2021.06.03 19:30,1020,2021-06-04T12:30:00Z,America/New_York,08:30,08:30,0,8.211779449,1,1,
USD,Average Hourly Earnings m/m,2021.07.01 19:30,1020,2021-07-02T12:30:00Z,America/New_York,08:30,08:30,0,4.514797508,1,1,
USD,Average Hourly Earnings m/m,2021.08.05 19:30,1020,2021-08-06T12:30:00Z,America/New_York,08:30,08:30,0,7.848020434,1,1,
USD,Average Hourly Earnings m/m,2021.09.02 19:30,1020,2021-09-03T12:30:00Z,America/New_York,08:30,08:30,5,5.893147503,1,1,
USD,Average Hourly Earnings m/m,2021.10.07 20:30,1020,2021-10-08T13:30:00Z,America/New_York,09:30,08:30,-60,4.394981413,1,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2021.11.04 20:30,1020,2021-11-05T13:30:00Z,America/New_York,09:30,08:30,-60,4.063564132,1,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2021.12.02 20:30,1020,2021-12-03T13:30:00Z,America/New_York,08:30,08:30,0,3.502606106,1,1,
USD,Average Hourly Earnings m/m,2022.01.06 20:30,1020,2022-01-07T13:30:00Z,America/New_York,08:30,08:30,0,4.691879867,1,1,
USD,Average Hourly Earnings m/m,2022.02.03 20:30,1020,2022-02-04T13:30:00Z,America/New_York,08:30,08:30,0,2.711916462,1,1,
USD,Average Hourly Earnings m/m,2022.03.03 20:30,1020,2022-03-04T13:30:00Z,America/New_York,08:30,08:30,0,1.888579387,1,1,
USD,Average Hourly Earnings m/m,2022.04.01 12:30,1020,2022-04-02T05:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2022.05.05 19:30,1020,2022-05-06T12:30:00Z,America/New_York,08:30,08:30,0,2.119817768,1,1,
USD,Average Hourly Earnings m/m,2022.06.02 19:30,1020,2022-06-03T12:30:00Z,America/New_York,08:30,08:30,0,2.729411765,1,1,
USD,Average Hourly Earnings m/m,2022.07.07 19:30,1020,2022-07-08T12:30:00Z,America/New_York,08:30,08:30,0,2.087421945,1,1,
USD,Average Hourly Earnings m/m,2022.08.04 19:30,1020,2022-08-05T12:30:00Z,America/New_York,08:30,08:30,0,2.104901118,1,1,
USD,Average Hourly Earnings m/m,2022.09.01 19:30,1020,2022-09-02T12:30:00Z,America/New_York,08:30,08:30,0,2.281188119,1,1,
USD,Average Hourly Earnings m/m,2022.10.06 20:30,1020,2022-10-07T13:30:00Z,America/New_York,09:30,08:30,-60,1.528301887,1,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2022.11.03 20:30,1020,2022-11-04T13:30:00Z,America/New_York,09:30,08:30,-30,1.274220033,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2022.12.01 20:30,1020,2022-12-02T13:30:00Z,America/New_York,08:30,08:30,0,1.886002886,1,1,
USD,Average Hourly Earnings m/m,2023.01.05 20:30,1020,2023-01-06T13:30:00Z,America/New_York,08:30,08:30,90,2.014742015,1,0,local_peak_elsewhere
USD,Average Hourly Earnings m/m,2023.02.03 13:30,1020,2023-02-04T06:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2023.03.09 20:30,1020,2023-03-10T13:30:00Z,America/New_York,08:30,08:30,0,1.720028715,1,1,
USD,Average Hourly Earnings m/m,2023.04.07 11:30,1020,2023-04-08T04:30:00Z,America/New_York,00:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2023.05.04 19:30,1020,2023-05-05T12:30:00Z,America/New_York,08:30,08:30,0,3.312865497,1,1,
USD,Average Hourly Earnings m/m,2023.06.02 11:30,1020,2023-06-03T04:30:00Z,America/New_York,00:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2023.07.06 19:30,1020,2023-07-07T12:30:00Z,America/New_York,08:30,08:30,0,2.970501475,1,1,
USD,Average Hourly Earnings m/m,2023.08.03 19:30,1020,2023-08-04T12:30:00Z,America/New_York,08:30,08:30,0,3.547511312,1,1,
USD,Average Hourly Earnings m/m,2023.08.31 19:30,1020,2023-09-01T12:30:00Z,America/New_York,08:30,08:30,0,2.71253406,1,1,
USD,Average Hourly Earnings m/m,2023.10.05 20:30,1020,2023-10-06T13:30:00Z,America/New_York,09:30,08:30,-60,2.37586548,1,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2023.11.02 20:30,1020,2023-11-03T13:30:00Z,America/New_York,09:30,08:30,-60,2.226152197,1,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2023.12.07 20:30,1020,2023-12-08T13:30:00Z,America/New_York,08:30,08:30,0,3.683333333,1,1,
USD,Average Hourly Earnings m/m,2024.01.04 20:30,1020,2024-01-05T13:30:00Z,America/New_York,08:30,08:30,0,2.893316195,1,1,
USD,Average Hourly Earnings m/m,2024.02.02 13:30,1020,2024-02-03T06:30:00Z,America/New_York,01:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2024.03.07 20:30,1020,2024-03-08T13:30:00Z,America/New_York,08:30,08:30,0,3.569277108,1,1,
USD,Average Hourly Earnings m/m,2024.04.04 19:30,1020,2024-04-05T12:30:00Z,America/New_York,08:30,08:30,0,5.170731707,1,1,
USD,Average Hourly Earnings m/m,2024.05.03 11:30,1020,2024-05-04T04:30:00Z,America/New_York,00:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2024.06.06 19:30,1020,2024-06-07T12:30:00Z,America/New_York,08:30,08:30,0,4.347740668,1,1,
USD,Average Hourly Earnings m/m,2024.07.04 19:30,1020,2024-07-05T12:30:00Z,America/New_York,08:30,08:30,0,4.160164271,1,1,
USD,Average Hourly Earnings m/m,2024.08.02 11:30,1020,2024-08-03T04:30:00Z,America/New_York,00:30,08:30,,,0,0,home_clock_mismatch
USD,Average Hourly Earnings m/m,2024.09.05 19:30,1020,2024-09-06T12:30:00Z,America/New_York,08:30,08:30,0,2.620535714,1,1,
