event_id,cluster_id,currency,event,raw_datetime_utc,applied_offset_min,release_utc,us_dst,release_broker_epoch,year,weekday,broker_hhmm,era,actual,forecast,surprise,surprise_n_3y,surprise_mean_3y,surprise_sd_3y,surprise_z,polarity,direction,is_confounded,instant_verified,instant_void_reason,home_tz,home_local_hhmm,local_peak_offset_min,cluster_rank,cluster_is_primary,cluster_direction,cluster_dir_rule
b89e3a8df675,62947b58f471,USD,Non-Farm Employment Change,2018.07.05 19:30,1020,2018-07-06T12:30:00Z,1,1530891000,2018,4,15:30,IS,213000,195000,18000,35,-1057.142857,57851.01202,0.3294176228,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
8d45e3102ef6,62947b58f471,USD,Unemployment Rate,2018.07.05 19:30,1020,2018-07-06T12:30:00Z,1,1530891000,2018,4,15:30,IS,4,3.8,0.2,35,-0.02,0.1063686313,2.068278941,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
5021c805a337,97265f1de52b,USD,Average Hourly Earnings m/m,2018.08.02 19:30,1020,2018-08-03T12:30:00Z,1,1533310200,2018,4,15:30,IS,0.3,0.3,0,36,-0.02777777778,0.1282599598,0.2165740409,1,1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
a1d38e11a99f,97265f1de52b,USD,Non-Farm Employment Change,2018.08.02 19:30,1020,2018-08-03T12:30:00Z,1,1533310200,2018,4,15:30,IS,157000,191000,-34000,36,-527.7777778,57127.774,-0.5859185451,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
1056708c725e,97265f1de52b,USD,Unemployment Rate,2018.08.02 19:30,1020,2018-08-03T12:30:00Z,1,1533310200,2018,4,15:30,IS,3.9,3.9,0,36,-0.01388888889,0.1109373642,0.1251957715,-1,-1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
b65a79142170,30250050d88e,USD,Average Hourly Earnings m/m,2018.09.06 19:30,1020,2018-09-07T12:30:00Z,1,1536334200,2018,4,15:30,IS,0.4,0.2,0.2,35,-0.03142857143,0.1282217467,1.804908897,1,1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
dae2ae0222b2,30250050d88e,USD,Non-Farm Employment Change,2018.09.06 19:30,1020,2018-09-07T12:30:00Z,1,1536334200,2018,4,15:30,IS,201000,191000,10000,35,-114.2857143,57778.28135,0.1750534193,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
002fdbe4ea1f,30250050d88e,USD,Unemployment Rate,2018.09.06 19:30,1020,2018-09-07T12:30:00Z,1,1536334200,2018,4,15:30,IS,3.9,3.8,0.1,35,-0.01142857143,0.1115384074,0.9990152632,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
833dd66bdb60,9dc57c8782f2,USD,Average Hourly Earnings m/m,2018.10.04 20:30,1020,2018-10-05T13:30:00Z,1,1538757000,2018,4,16:30,IS,0.3,0.3,0,35,-0.02,0.1304935685,0.1532642583,1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,15,0,,primary_event_rank
cfbab75f53c9,9dc57c8782f2,USD,Non-Farm Employment Change,2018.10.04 20:30,1020,2018-10-05T13:30:00Z,1,1538757000,2018,4,16:30,IS,134000,185000,-51000,35,1857.142857,56906.00915,-0.9288499342,1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,2,0,,primary_event_rank
0448197397f3,9dc57c8782f2,USD,Unemployment Rate,2018.10.04 20:30,1020,2018-10-05T13:30:00Z,1,1538757000,2018,4,16:30,IS,3.7,3.8,-0.1,35,-0.008571428571,0.1130649082,-0.8086379132,-1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,13,0,,primary_event_rank
5479f8abc043,bab74b37c0ff,USD,Average Hourly Earnings m/m,2018.11.01 20:30,1020,2018-11-02T13:30:00Z,1,1541176200,2018,4,16:30,IS,0.2,0.2,0,36,-0.01944444444,0.1287103649,0.1510713179,1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,15,0,,primary_event_rank
13badabf0b7d,bab74b37c0ff,USD,Non-Farm Employment Change,2018.11.01 20:30,1020,2018-11-02T13:30:00Z,1,1541176200,2018,4,16:30,IS,250000,194000,56000,36,388.8888889,56778.45727,0.9794403333,1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,2,0,,primary_event_rank
6bfa2652b25a,bab74b37c0ff,USD,Unemployment Rate,2018.11.01 20:30,1020,2018-11-02T13:30:00Z,1,1541176200,2018,4,16:30,IS,3.7,3.7,0,36,-0.01111111111,0.1124914263,0.09877295966,-1,,0,0,home_clock_mismatch,America/New_York,09:30,-60,13,0,,primary_event_rank
074a0968194a,f46040b03373,USD,Average Hourly Earnings m/m,2018.12.06 20:30,1020,2018-12-07T13:30:00Z,0,1544196600,2018,4,15:30,IS,0.2,0.3,-0.1,35,-0.02571428571,0.1249979592,-0.5942954171,1,-1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
e9c17828b117,f46040b03373,USD,Non-Farm Employment Change,2018.12.06 20:30,1020,2018-12-07T13:30:00Z,0,1544196600,2018,4,15:30,IS,155000,198000,-43000,35,-857.1428571,56308.40732,-0.748429216,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
b253f8bd00ca,f46040b03373,USD,Unemployment Rate,2018.12.06 20:30,1020,2018-12-07T13:30:00Z,0,1544196600,2018,4,15:30,IS,3.7,3.7,0,35,-0.01142857143,0.1140712273,0.100188029,-1,-1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
091d33b76888,a2ae7ace31e2,USD,Average Hourly Earnings m/m,2019.01.03 20:30,1020,2019-01-04T13:30:00Z,0,1546615800,2019,4,15:30,IS,0.4,0.3,0.1,36,-0.02777777778,0.1238527601,1.031690999,1,1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
6ec99acc159b,a2ae7ace31e2,USD,Non-Farm Employment Change,2019.01.03 20:30,1020,2019-01-04T13:30:00Z,0,1546615800,2019,4,15:30,IS,312000,179000,133000,36,-2027.777778,55951.11264,2.413317116,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
38d19e020ea4,a2ae7ace31e2,USD,Unemployment Rate,2019.01.03 20:30,1020,2019-01-04T13:30:00Z,0,1546615800,2019,4,15:30,IS,3.9,3.7,0.2,36,-0.01111111111,0.1124914263,1.876686234,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
b421bd38b9ab,c1d6b8e69f15,USD,Non-Farm Employment Change,2019.01.31 20:30,1020,2019-02-01T13:30:00Z,0,1549035000,2019,4,15:30,IS,304000,165000,139000,36,-805.5555556,58355.14804,2.395770729,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
aa9c1ed93d76,c1d6b8e69f15,USD,Unemployment Rate,2019.01.31 20:30,1020,2019-02-01T13:30:00Z,0,1549035000,2019,4,15:30,IS,4,3.9,0.1,36,-0.005555555556,0.1177201117,0.8966654385,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
7e676adff47d,f9e43d561700,USD,Average Hourly Earnings m/m,2019.02.01 13:30,1020,2019-02-02T06:30:00Z,0,1549096200,2019,5,08:30,IS,0.1,0.3,-0.2,36,-0.01944444444,0.1220642919,-1.479184066,1,,0,0,home_clock_mismatch,America/New_York,01:30,,15,0,,primary_event_rank
61285fd60fc8,25b8a01ce4b4,USD,Average Hourly Earnings m/m,2019.03.07 20:30,1020,2019-03-08T13:30:00Z,0,1552059000,2019,4,15:30,IS,0.4,0.3,0.1,35,-0.02285714286,0.11234059,1.093613117,1,1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
49586b203a46,25b8a01ce4b4,USD,Non-Farm Employment Change,2019.03.07 20:30,1020,2019-03-08T13:30:00Z,0,1552059000,2019,4,15:30,IS,20000,180000,-160000,35,2885.714286,62790.25012,-2.59412431,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
2f7b147ff2f0,25b8a01ce4b4,USD,Unemployment Rate,2019.03.07 20:30,1020,2019-03-08T13:30:00Z,0,1552059000,2019,4,15:30,IS,3.8,3.9,-0.1,35,-1.268826314e-17,0.1195228609,-0.8366600265,-1,1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
1eb0047cfc43,3a1f83337d61,USD,Average Hourly Earnings m/m,2019.04.04 19:30,1020,2019-04-05T12:30:00Z,1,1554478200,2019,4,15:30,IS,0.1,0.3,-0.2,35,-0.02285714286,0.11234059,-1.576837518,1,-1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
5a37ffb74e8c,3a1f83337d61,USD,Non-Farm Employment Change,2019.04.04 19:30,1020,2019-04-05T12:30:00Z,1,1554478200,2019,4,15:30,IS,196000,172000,24000,35,-1942.857143,68383.34921,0.3793738892,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
cc4a24bccb8a,3a1f83337d61,USD,Unemployment Rate,2019.04.04 19:30,1020,2019-04-05T12:30:00Z,1,1554478200,2019,4,15:30,IS,3.8,3.8,0,35,-0.005714285714,0.1193861852,0.04786387724,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
0026d29b177f,c79323ebbd64,USD,Non-Farm Employment Change,2019.05.02 19:30,1020,2019-05-03T12:30:00Z,1,1556897400,2019,4,15:30,IS,263000,181000,82000,36,-1222.222222,67561.54031,1.23179877,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
62c2da38cfcf,c79323ebbd64,USD,Unemployment Rate,2019.05.02 19:30,1020,2019-05-03T12:30:00Z,1,1556897400,2019,4,15:30,IS,3.6,3.8,-0.2,36,-0.005555555556,0.1177201117,-1.651752124,-1,1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
1318e4e601b8,4deb8954eded,USD,Average Hourly Earnings m/m,2019.05.03 12:30,1020,2019-05-04T05:30:00Z,1,1556958600,2019,5,08:30,IS,0.2,0.3,-0.1,36,-0.02777777778,0.1145307118,-0.6305926251,1,,0,0,home_clock_mismatch,America/New_York,01:30,,15,0,,primary_event_rank
0967f1534fc4,9af8078b6d2d,USD,Average Hourly Earnings m/m,2019.06.06 19:30,1020,2019-06-07T12:30:00Z,1,1559921400,2019,4,15:30,IS,0.2,0.3,-0.1,35,-0.03142857143,0.1165490175,-0.5883484054,1,-1,0,1,,America/New_York,08:30,0,15,0,-1,primary_event_rank
99b48e692e62,9af8078b6d2d,USD,Non-Farm Employment Change,2019.06.06 19:30,1020,2019-06-07T12:30:00Z,1,1559921400,2019,4,15:30,IS,75000,177000,-102000,35,5771.428571,66213.11295,-1.627644794,1,-1,0,1,,America/New_York,08:30,0,2,1,-1,primary_event_rank
c7b6a69704b1,9af8078b6d2d,USD,Unemployment Rate,2019.06.06 19:30,1020,2019-06-07T12:30:00Z,1,1559921400,2019,4,15:30,IS,3.6,3.6,0,35,-0.005714285714,0.1193861852,0.04786387724,-1,-1,0,1,,America/New_York,08:30,0,13,0,-1,primary_event_rank
4fb4e475bad0,7002268311a2,USD,Average Hourly Earnings m/m,2019.07.04 19:30,1020,2019-07-05T12:30:00Z,1,1562340600,2019,4,15:30,IS,0.2,0.3,-0.1,36,-0.03333333333,0.1154700538,-0.5773502692,1,-1,0,1,,America/New_York,08:30,0,15,0,1,primary_event_rank
8830c57c7b46,7002268311a2,USD,Non-Farm Employment Change,2019.07.04 19:30,1020,2019-07-05T12:30:00Z,1,1562340600,2019,4,15:30,IS,224000,162000,62000,36,2777.777778,67646.59436,0.8754649481,1,1,0,1,,America/New_York,08:30,0,2,1,1,primary_event_rank
2f42d0d42411,7002268311a2,USD,Unemployment Rate,2019.07.04 19:30,1020,2019-07-05T12:30:00Z,1,1562340600,2019,4,15:30,IS,3.7,3.6,0.1,36,-0.005555555556,0.1177201117,0.8966654385,-1,-1,0,1,,America/New_York,08:30,0,13,0,1,primary_event_rank
7e1081de0dac,4cdc5d762cef,USD,Average Hourly Earnings m/m,2019.08.01 19:30,1020,2019-08-02T12:30:00Z,1,1564759800,2019,4,15:30,IS,0.3,0.2,0.1,36,-0.03333333333,0.1154700538,1.154700538,1,,0,0,local_peak_elsewhere,America/New_York,08:30,30,15,0,,primary_event_rank
8acb58be71df,4cdc5d762cef,USD,Non-Farm Employment Change,2019.08.01 19:30,1020,2019-08-02T12:30:00Z,1,1564759800,2019,4,15:30,IS,164000,164000,0,36,1388.888889,65880.05843,-0.02108208344,1,,0,0,local_peak_elsewhere,America/New_York,08:30,30,2,0,,primary_event_rank
