config_id,year,clock_mode,outside_rule,buffer_points,range_band_enabled,range_start_hour,range_end_hour,range_end_minute,range_bar_period,exit_hour
0,2019,0,0,0,true,0,8,0,0,18
0,2020,0,0,0,true,0,8,0,0,18
0,2021,0,0,0,true,0,8,0,0,18
0,2022,0,0,0,true,0,8,0,0,18
0,2023,0,0,0,true,0,8,0,0,18
0,2024,0,0,0,true,0,8,0,0,18
0,2025,0,0,0,true,0,8,0,0,18
1,2019,0,0,0,false,0,8,0,0,18
1,2020,0,0,0,false,0,8,0,0,18
1,2021,0,0,0,false,0,8,0,0,18
1,2022,0,0,0,false,0,8,0,0,18
1,2023,0,0,0,false,0,8,0,0,18
1,2024,0,0,0,false,0,8,0,0,18
1,2025,0,0,0,false,0,8,0,0,18
2,2019,0,0,20,true,0,8,0,0,18
2,2020,0,0,20,true,0,8,0,0,18
2,2021,0,0,20,true,0,8,0,0,18
2,2022,0,0,20,true,0,8,0,0,18
2,2023,0,0,20,true,0,8,0,0,18
2,2024,0,0,20,true,0,8,0,0,18
2,2025,0,0,20,true,0,8,0,0,18
3,2019,0,0,20,false,0,8,0,0,18
3,2020,0,0,20,false,0,8,0,0,18
3,2021,0,0,20,false,0,8,0,0,18
3,2022,0,0,20,false,0,8,0,0,18
3,2023,0,0,20,false,0,8,0,0,18
3,2024,0,0,20,false,0,8,0,0,18
3,2025,0,0,20,false,0,8,0,0,18
4,2019,0,1,0,true,0,8,0,0,18
4,2020,0,1,0,true,0,8,0,0,18
4,2021,0,1,0,true,0,8,0,0,18
4,2022,0,1,0,true,0,8,0,0,18
4,2023,0,1,0,true,0,8,0,0,18
4,2024,0,1,0,true,0,8,0,0,18
4,2025,0,1,0,true,0,8,0,0,18
5,2019,0,1,0,false,0,8,0,0,18
5,2020,0,1,0,false,0,8,0,0,18
5,2021,0,1,0,false,0,8,0,0,18
5,2022,0,1,0,false,0,8,0,0,18
5,2023,0,1,0,false,0,8,0,0,18
5,2024,0,1,0,false,0,8,0,0,18
5,2025,0,1,0,false,0,8,0,0,18
6,2019,0,1,20,true,0,8,0,0,18
6,2020,0,1,20,true,0,8,0,0,18
6,2021,0,1,20,true,0,8,0,0,18
6,2022,0,1,20,true,0,8,0,0,18
6,2023,0,1,20,true,0,8,0,0,18
6,2024,0,1,20,true,0,8,0,0,18
6,2025,0,1,20,true,0,8,0,0,18
7,2019,0,1,20,false,0,8,0,0,18
7,2020,0,1,20,false,0,8,0,0,18
7,2021,0,1,20,false,0,8,0,0,18
7,2022,0,1,20,false,0,8,0,0,18
7,2023,0,1,20,false,0,8,0,0,18
7,2024,0,1,20,false,0,8,0,0,18
7,2025,0,1,20,false,0,8,0,0,18
8,2019,0,2,0,true,0,8,0,0,18
8,2020,0,2,0,true,0,8,0,0,18
8,2021,0,2,0,true,0,8,0,0,18
8,2022,0,2,0,true,0,8,0,0,18
8,2023,0,2,0,true,0,8,0,0,18
8,2024,0,2,0,true,0,8,0,0,18
8,2025,0,2,0,true,0,8,0,0,18
9,2019,0,2,0,false,0,8,0,0,18
9,2020,0,2,0,false,0,8,0,0,18
9,2021,0,2,0,false,0,8,0,0,18
9,2022,0,2,0,false,0,8,0,0,18
9,2023,0,2,0,false,0,8,0,0,18
9,2024,0,2,0,false,0,8,0,0,18
9,2025,0,2,0,false,0,8,0,0,18
10,2019,0,2,20,true,0,8,0,0,18
10,2020,0,2,20,true,0,8,0,0,18
10,2021,0,2,20,true,0,8,0,0,18
10,2022,0,2,20,true,0,8,0,0,18
10,2023,0,2,20,true,0,8,0,0,18
10,2024,0,2,20,true,0,8,0,0,18
10,2025,0,2,20,true,0,8,0,0,18
11,2019,0,2,20,false,0,8,0,0,18
11,2020,0,2,20,false,0,8,0,0,18
11,2021,0,2,20,false,0,8,0,0,18
11,2022,0,2,20,false,0,8,0,0,18
11,2023,0,2,20,false,0,8,0,0,18
11,2024,0,2,20,false,0,8,0,0,18
11,2025,0,2,20,false,0,8,0,0,18
12,2019,0,3,0,true,0,8,0,0,18
12,2020,0,3,0,true,0,8,0,0,18
12,2021,0,3,0,true,0,8,0,0,18
12,2022,0,3,0,true,0,8,0,0,18
12,2023,0,3,0,true,0,8,0,0,18
12,2024,0,3,0,true,0,8,0,0,18
12,2025,0,3,0,true,0,8,0,0,18
13,2019,0,3,0,false,0,8,0,0,18
13,2020,0,3,0,false,0,8,0,0,18
13,2021,0,3,0,false,0,8,0,0,18
13,2022,0,3,0,false,0,8,0,0,18
13,2023,0,3,0,false,0,8,0,0,18
13,2024,0,3,0,false,0,8,0,0,18
13,2025,0,3,0,false,0,8,0,0,18
14,2019,0,3,20,true,0,8,0,0,18
14,2020,0,3,20,true,0,8,0,0,18
14,2021,0,3,20,true,0,8,0,0,18
14,2022,0,3,20,true,0,8,0,0,18
14,2023,0,3,20,true,0,8,0,0,18
14,2024,0,3,20,true,0,8,0,0,18
14,2025,0,3,20,true,0,8,0,0,18
15,2019,0,3,20,false,0,8,0,0,18
15,2020,0,3,20,false,0,8,0,0,18
15,2021,0,3,20,false,0,8,0,0,18
15,2022,0,3,20,false,0,8,0,0,18
15,2023,0,3,20,false,0,8,0,0,18
15,2024,0,3,20,false,0,8,0,0,18
15,2025,0,3,20,false,0,8,0,0,18
16,2019,1,0,0,true,0,8,0,0,18
16,2020,1,0,0,true,0,8,0,0,18
