seq,handler,tick_no,timer_no,sim_iso,sim_epoch,wall_ms,host_b0_open,host_b1_open,sec_b0_open,sec_b1_open,sec_close1,la_forming,la_closed
14,TIMER,0,14,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
15,TIMER,0,15,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
16,TIMER,0,16,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
17,TIMER,0,17,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
18,TIMER,0,18,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
19,TIMER,0,19,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
20,TIMER,0,20,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
21,TIMER,0,21,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
22,TIMER,0,22,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
23,TIMER,0,23,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
24,TIMER,0,24,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
25,TIMER,0,25,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
26,TIMER,0,26,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
27,TIMER,0,27,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
28,TIMER,0,28,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
29,TIMER,0,29,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
30,TIMER,0,30,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
31,TIMER,0,31,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
32,TIMER,0,32,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
33,TIMER,0,33,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
34,TIMER,0,34,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
35,TIMER,0,35,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
36,TIMER,0,36,2018.01.02 00:00:00,1514851200,282,2018.01.01 23:00,2018.01.01 22:00,2017.12.29 23:00,2017.12.29 22:00,1303.310,0,0
