month,trades,pf_native,pf_dxz_5rt,net_native
2018-07,19,0.6938760741523916525817680493,0.6938840092286293571972637923,-2495.81
2018-08,19,1.149186755083238255191475700,1.149197992943090859273853671,1426.57
2018-09,13,0.5896197283774124374553252323,0.5896290747311628119755137285,-2870.61
2018-10,19,4.172176763464920610018908274,4.172270434071786572426491838,7683.71
2018-11,20,0.8529599282155422796287987910,0.8529733846140222970639542606,-996.32
2018-12,16,0.8494145077475657587328257966,0.8494322025631908674132413698,-957.15
2019-01,17,0.8461234577737498277885392650,0.8461404394043010895473830280,-927.04
2019-02,14,0.4944509392383543787444765766,0.4944577506033349209568584197,-4436.83
2019-03,14,0.8839819521541650866727583436,0.8839878588837456379348074845,-694.52
2019-04,13,0.9601969820186138971717719346,0.9602073388788200520258634921,-229.06
2019-05,17,4.596941813781047697715965192,4.596982144515129297786713880,11234.76
2019-06,14,0.1516997862223400474936120528,0.1517028981419852667441309522,-7519.63
2019-07,14,2.185784936107470511140235911,2.185800929038775935096982501,6948.51
2019-08,18,0.8574197194850883956018554408,0.8574326086190492970153987103,-1011.58
2019-09,18,0.5656248509387003818775129981,0.5656342462236476049781773339,-3096.20
2019-10,21,0.3972247476419398022475248644,0.3972294149991400964545329028,-7465.48
2019-11,17,1.029421444796348352496209689,1.029437895895456621907923844,163.59
2019-12,17,0.6046543068379931555498159747,0.6046622139715081318858711005,-3918.54
2020-01,18,0.8834610928099820159394907704,0.8834772437560855528778687355,-743.27
2020-02,17,2.036627759145803908322027324,2.036644598986260131366729956,5585.34
2020-03,16,1.975762134603731795482563363,1.975778749153760645900022566,4669.90
2020-04,19,0.6970259694498878015911774342,0.6970364600719557879900597159,-2450.56
2020-05,18,3.437051327520209370299257665,3.437101197591974880225515405,7971.01
2020-06,19,1.895717406329299115633560521,1.895733407661427124625259024,7102.00
2020-07,13,0.7864253980039822288223004814,0.7864400368454417775473964773,-1219.59
2020-08,16,1.208749246866766242074644315,1.208763935551317144019982603,1569.50
2020-09,17,0.2068803723583949551443264142,0.2068837784523352078478709459,-8029.21
2020-10,16,2.133585865085697779836926834,2.133614562926313080036035521,7927.37
2020-11,17,1.985586245698509688984259489,1.985604450818041933153988674,7532.54
2020-12,19,0.9449811637668879793302041725,0.9449957784469167718941697737,-368.18
2021-01,13,1.458045349079882637465165670,1.458062483247704807678535988,2238.66
2021-02,17,1.143272599654900125756733834,1.143282293527431994693638332,1224.73
2021-03,18,2.654836373088088862896644516,2.654852914194850467861292887,8658.65
2021-04,14,0.8907436733588239584093016472,0.8907548250983252155340817336,-838.94
2021-05,18,0.6374853584365581517943690179,0.6374963357466085641299769183,-2943.26
2021-06,20,0.9960292420009618299654471966,0.9960341716939004652145704690,-40.21
2021-07,20,1.025941063504708684993399759,1.025947848375048347338827772,269.62
2021-08,19,0.9440721864085158225490496829,0.9440796825739070071967794609,-638.10
2021-09,14,0.7938694414750867127631264405,0.7938826168471601407864132992,-1371.03
2021-10,15,1.426383984780246335899717092,1.426400462998593149221614400,2770.14
2021-11,19,0.4784163190176823569297189617,0.4784212213266525951656065369,-6200.06
2021-12,22,0.8764198499810621590700543926,0.8764269356246302706565221720,-1265.96
2022-01,15,0.9526706865039372768734092889,0.9526783345233499480150636744,-415.62
2022-02,16,0.9084664447258672331246093977,0.9084748294522812370599561315,-833.37
2022-03,13,1.859477634736054209211928452,1.859506637472513891706482175,3685.93
2022-04,9,1.028039841236226012938837691,1.028053600035523857344386718,82.09
2022-05,13,2.541497773938467672270582763,2.541526905019862766341639581,5335.54
2022-06,15,1.657700550717560565367190255,1.657726964441430093983141168,3394.09
2022-07,13,0.9547662835730022533690692142,0.9547677817931887262324896786,-288.26
2022-08,15,2.196360765594906857760973818,2.196396027065313130411134608,5894.96
2022-09,17,1.051347671437360056711188281,1.051360483672009918274170328,328.85
2022-10,18,1.753149432670690142803043013,1.753161431968093265838318761,6284.55
2022-11,16,0.8860222202651696041061720340,0.8860361153766959317484377209,-918.89
2022-12,14,1.352782497672052146031928885,1.352799889409840220258734895,1837.45
