scope,ea_id,symbol,phase,pair_class,disposition,reason,file_count,bytes,projected_free_bytes,compression_candidate_bytes
C_RELOCATED,QM5_1089,XAUUSD.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,3,48447,0,48447
C_RELOCATED,QM5_10892,AUDUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,4,1888,0,1888
C_RELOCATED,QM5_10892,NZDUSD.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,5,2360,0,2360
C_RELOCATED,QM5_10892,USDCAD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,5,2360,0,2360
C_RELOCATED,QM5_10892,USDCHF.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,5,2360,0,2360
C_RELOCATED,QM5_10898,GBPUSD.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,13,171087,0,171087
C_RELOCATED,QM5_10907,EURUSD.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW,27,306544,0,306544
C_RELOCATED,QM5_1091,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,21,237305,0,237305
C_RELOCATED,QM5_10910,EURUSD.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,7,79118,0,79118
C_RELOCATED,QM5_10910,NDX.DWX,Q02,OTHER,COMPRESS_KEEP_Q02_Q04,non-path pair retained Q02/Q04 artifact,5,52724,0,52724
C_RELOCATED,QM5_10911,GDAXI.DWX,Q02,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW+PORTFOLIO_CANDIDATE_NON_RETIRED+V4_PASS_LINEAGE,17,61971,0,61971
C_RELOCATED,QM5_10911,GDAXI.DWX,Q03,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW+PORTFOLIO_CANDIDATE_NON_RETIRED+V4_PASS_LINEAGE,225,4147488,0,4147488
C_RELOCATED,QM5_10911,GDAXI.DWX,Q04,PATH_TO_25,COMPRESS_KEEP_COMPLETE_CHAIN,OPEN_PIPELINE_OR_OPT_ROW+PORTFOLIO_CANDIDATE_NON_RETIRED+V4_PASS_LINEAGE,40,771155,0,771155
