ea_label
QM5_11291_tc20-ema18-28-wma5-12-rsi21-h1
QM5_11292_trix14-signal-cross
QM5_11299_lwma144-smma5-fractal-m5-scalp
QM5_11300_macd-psar-atr-trender-h4
QM5_11465_suhr-bank-trading-stop-run-fade-h1
QM5_11496_carter-t-ema100-psar-macd64128-m5
QM5_11516_carter-t-sma7-21-cci5-m15
QM5_11517_carter-t-ema5-15-50-100-macd-h4
QM5_11518_carter-t-ema5-100-mtf-m15-h1
QM5_11899_psar-ao-ac-confluence-h1
QM5_12931_classical-triple-top-reversal-h4
QM5_12946_mql5-macd-obv-div-card
QM5_12954_pring-coppock-h4-variant
QM5_13128_pre-fomc-drift-ndx
QM5_1345_chan-cot-spec-momo
QM5_1405_as-rpv-bestvalue
QM5_1538_aa-tsmom-1-3-12
QM5_1539_aa-canary-13612w
QM5_1567_demark-td-reverse-sequential-h4
QM5_1583_aa-sma10-tr4-risk
QM5_1606_aa-gvmt-robust
QM5_1607_aa-mom-tol-band
QM5_1612_aa-dsp-hplwma10
QM5_1613_aa-dsp-atsmom
QM5_1617_mql5-sar-sma-rapid
QM5_1618_mql5-ma-support
QM5_1640_aa-indmom-12-0
QM5_1671_ehlers-ebsw-cycle-extract-composite-h4
QM5_35005_sma-crossover-pullback-system
QM5_36002_nnfx-kijunsen-absolute-strength-damiani
QM5_41097_balke-gmt3-range-breakout-opt
QM5_41133_wti-mdaily-median-mom
QM5_41136_xng-mdaily-iqrmean-mom
QM5_9111_aa-dlwma-trend10
QM5_9112_aa-des-trend0177
QM5_9113_aa-ab-velocity
QM5_9166_aa-vol-ma-timing
QM5_9353_chande-stochrsi-base-cross-h4
QM5_9406_qs-daily-mac
QM5_9417_qs-sma10-30
QM5_9465_connors-rsi25-d1
QM5_9466_connors-r2-d1
QM5_9467_connors-crsi-pullback-d1
QM5_9468_connors-rsi4-3day-d1
QM5_9580_bandy-regslope-pullback-mr-index
QM5_9716_bandy-trend-stretch-ratio-mr-index
QM5_9717_bandy-pir-position-in-range-mr-index
QM5_9718_bandy-cumulative-rsi2-mr-index
QM5_9719_bandy-percentrank-channel-mr-index
QM5_9720_bandy-adx-regime-filter-trend
QM5_9727_bandy-atr-ratio-compression-breakout-trend
QM5_9730_bandy-weekly-rsi-extreme-d1-trigger-mr-index
QM5_9908_bandy-psar-flip-trend
QM5_9909_bandy-lrchannel-breakout-trend
QM5_9910_bandy-tema-adx-crossover-trend
QM5_9911_bandy-donchian-20-classic-breakout-trend
QM5_9913_bandy-rsi3-low-adx-mr-index
QM5_9914_bandy-zlema-distance-trend
QM5_9921_bandy-cmo-extreme-fade-mr-index
QM5_9922_bandy-vortex-crossover-trend
QM5_9923_bandy-hma-crossover-trend
QM5_9924_bandy-dema-crossover-trend
QM5_9925_bandy-cci-momentum-breakout-trend
QM5_9932_bandy-roc-zscore-normalised-mr-index
QM5_9933_bandy-choppiness-index-sideways-rsi2-mr-index
QM5_9934_bandy-ulcer-index-spike-rsi2-mr-index
QM5_9946_bandy-supertrend-flip-trend
QM5_9947_bandy-double-bottom-formalised-mr-index
QM5_9949_bandy-bbwidth-contraction-breakout-trend
QM5_9961_bandy-hma-supertrend-confluence-trend
QM5_9963_bandy-lr-slope-sign-flip-trend
QM5_9964_bandy-wide-range-bar-continuation-trend
QM5_9965_bandy-index-gap-and-go-continuation
QM5_9971_bandy-dpo-zero-cross-mr-index
QM5_9972_bandy-heikin-ashi-color-flip-trend
QM5_9979_bandy-index-gap-fade-mr-index
