cell_key,year,arm,config,status,verdict,evidence_path
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c04,2019,c04,4,done,MEASURED,D:\QM\reports\work_items\79baf70b-ebe1-51c9-805d-a161e2e584a6\QM5_41405\20260911_084705\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c04,2020,c04,4,done,MEASURED,D:\QM\reports\work_items\84704f19-78ed-52e6-adab-459feaa05551\QM5_41405\20260911_085002\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c04,2021,c04,4,done,MEASURED,D:\QM\reports\work_items\ffaf5212-6246-5049-b041-8aa6549cc0e2\QM5_41405\20260911_085324\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c04,2022,c04,4,done,MEASURED,D:\QM\reports\work_items\f05cdb35-a840-5cd0-8fbe-125677835715\QM5_41405\20260911_085630\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c04,2023,c04,4,done,MEASURED,D:\QM\reports\work_items\b8c4e491-794c-5500-b220-74e14bcfa1f6\QM5_41405\20260911_090000\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c04,2024,c04,4,done,MEASURED,D:\QM\reports\work_items\6dd4b0f7-d640-50c2-8272-bcd7aeb565c4\QM5_41405\20260911_090357\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c04,2025,c04,4,done,MEASURED,D:\QM\reports\work_items\81bc61a6-469e-53b1-8bc8-5f3448cdd4f8\QM5_41405\20260911_090731\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c05,2019,c05,5,done,MEASURED,D:\QM\reports\work_items\270d2c69-6157-5272-ab77-9cb894f43b48\QM5_41405\20260911_091059\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c05,2020,c05,5,done,MEASURED,D:\QM\reports\work_items\cfd65dba-0252-53ca-a190-c9641124913d\QM5_41405\20260911_091358\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c05,2021,c05,5,done,MEASURED,D:\QM\reports\work_items\c0293a59-cf88-54d6-bd49-41cd087a9423\QM5_41405\20260911_091730\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c05,2022,c05,5,done,MEASURED,D:\QM\reports\work_items\ace6c6f5-04bf-5e27-8439-4bb74f9b1d6c\QM5_41405\20260911_092054\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c05,2023,c05,5,done,MEASURED,D:\QM\reports\work_items\261b4b54-e7d6-5dce-ae77-e982f1a154e4\QM5_41405\20260911_092507\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c05,2024,c05,5,done,MEASURED,D:\QM\reports\work_items\59970e59-df32-547b-8330-2d70dac49b21\QM5_41405\20260911_092930\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c05,2025,c05,5,done,MEASURED,D:\QM\reports\work_items\47c72ca6-69c1-5bdd-8868-6fb966fe4163\QM5_41405\20260911_093337\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c06,2019,c06,6,done,MEASURED,D:\QM\reports\work_items\5bd48cda-3183-53de-97ce-33516f3cb55f\QM5_41405\20260911_093646\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c06,2020,c06,6,done,MEASURED,D:\QM\reports\work_items\8e851f78-41a7-5933-a4f3-5cbfd5323a49\QM5_41405\20260911_093939\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c06,2021,c06,6,done,MEASURED,D:\QM\reports\work_items\193d457b-3742-5d95-9578-126a754ba31e\QM5_41405\20260911_094231\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c06,2022,c06,6,done,MEASURED,D:\QM\reports\work_items\f7c5ceeb-0520-5679-ba7f-bace0431d2c0\QM5_41405\20260911_094514\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c06,2023,c06,6,done,MEASURED,D:\QM\reports\work_items\fc7e2202-3912-5274-bbb2-3890b45ff2b4\QM5_41405\20260911_094922\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c06,2024,c06,6,done,MEASURED,D:\QM\reports\work_items\2447a40b-3c1e-5568-8fff-0658829adcba\QM5_41405\20260911_095234\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c06,2025,c06,6,done,MEASURED,D:\QM\reports\work_items\f2c9fabf-24e1-5626-a84d-8e5ac0acbc1f\QM5_41405\20260911_095531\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c07,2019,c07,7,done,MEASURED,D:\QM\reports\work_items\caed17a6-0458-5e45-9106-d92b55f363cd\QM5_41405\20260911_095815\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c07,2020,c07,7,done,MEASURED,D:\QM\reports\work_items\82816073-796a-5886-b198-e8d4de29c978\QM5_41405\20260911_100144\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c07,2021,c07,7,done,MEASURED,D:\QM\reports\work_items\fe0e0374-1fa4-597a-9550-0efd9619b4a5\QM5_41405\20260911_100506\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c07,2022,c07,7,done,MEASURED,D:\QM\reports\work_items\051ed9a4-93d1-517c-92bd-7ce88711bd53\QM5_41405\20260911_100811\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c07,2023,c07,7,done,MEASURED,D:\QM\reports\work_items\d17e11e6-0868-54dd-acd3-70d2ee149f66\QM5_41405\20260911_101241\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c07,2024,c07,7,done,MEASURED,D:\QM\reports\work_items\9fb2a7ef-a5e4-5fba-b55a-ca094748ddbe\QM5_41405\20260911_101605\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c07,2025,c07,7,done,MEASURED,D:\QM\reports\work_items\3bf79dd5-0aa9-5d5c-8cd8-3ffa4902bb07\QM5_41405\20260911_101950\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c08,2019,c08,8,done,MEASURED,D:\QM\reports\work_items\dc8dedac-4974-5f60-af32-2dd057c9d634\QM5_41405\20260911_102310\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c08,2020,c08,8,done,MEASURED,D:\QM\reports\work_items\2c6d894b-ca86-5d80-9366-1869ce7df2e1\QM5_41405\20260911_102605\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c08,2021,c08,8,done,MEASURED,D:\QM\reports\work_items\62a5e7b5-ca77-52c5-b6a6-7e44afb7948d\QM5_41405\20260911_102928\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c08,2022,c08,8,done,MEASURED,D:\QM\reports\work_items\fab24721-b06d-52c7-920b-71bef83fd9fa\QM5_41405\20260911_103254\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2023:c08,2023,c08,8,done,MEASURED,D:\QM\reports\work_items\66fa43c0-05be-537a-9e85-0aba56589d99\QM5_41405\20260911_103627\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2024:c08,2024,c08,8,done,MEASURED,D:\QM\reports\work_items\13b2bfa6-4093-5177-81e6-3abbb9b0c126\QM5_41405\20260911_104014\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2025:c08,2025,c08,8,done,MEASURED,D:\QM\reports\work_items\05bb1f76-f080-5e35-ac0f-d7e87a71b491\QM5_41405\20260911_104300\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2019:c09,2019,c09,9,done,MEASURED,D:\QM\reports\work_items\0e3fc1ed-fbb1-53b9-a5ce-8ac421a2e09d\QM5_41405\20260911_104628\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2020:c09,2020,c09,9,done,MEASURED,D:\QM\reports\work_items\7fd2c52e-aca2-5ba2-a64e-a45f89f0270f\QM5_41405\20260911_104942\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2021:c09,2021,c09,9,done,MEASURED,D:\QM\reports\work_items\907fc753-7036-53c4-9956-bcb64fd74f9b\QM5_41405\20260911_105333\summary.json
WINSWEEP_QM5_41405_USDJPY_DWX_2019_2025:2022:c09,2022,c09,9,done,MEASURED,D:\QM\reports\work_items\ca2ac9ff-fd4f-55fe-987d-585ca1255186\QM5_41405\20260911_105643\summary.json
