symbol,fix_code,era,scope,weekday,minute_of_hour,prefix_window_min,threshold_atr,holding_min,n_anchors,n_trigger,mean_ret_atr,sd_ret_atr,frozen_is_baseline_beta0,frozen_is_baseline_beta0_se,r_base_atr
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,0,0,60,0.8,15,2452,695,0.02098696558,0.5864493921,-0.03734222083,0.01387122687,0.05430897209
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,0,0,60,0.8,30,2452,695,0.01807357809,0.7705575123,-0.0708446714,0.01819665119,0.106522377
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,0,0,60,0.8,45,2452,695,0.01911046759,0.9781357936,-0.07242501433,0.02312369016,0.1078533268
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,0,0,60,0.8,60,2452,695,-0.008042253763,1.154544519,-0.06712985482,0.02731503343,0.087175109
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.4,15,4551,1323,0.02771770677,0.5891891259,-0.06012262166,0.01945380296,0.0376459227
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.4,30,4551,1323,0.04015951502,0.7909602539,-0.08857415491,0.0261102649,0.0574037728
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.4,45,4551,1323,0.05098742176,0.9695439946,-0.1144775483,0.03200094114,0.07835828123
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.4,60,4551,1323,0.03346865064,1.098746759,-0.07903661142,0.0362974942,0.06054726037
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.6,15,4551,666,0.02771770677,0.5891891259,-0.06012262166,0.01945380296,0.06068920397
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.6,30,4551,666,0.04015951502,0.7909602539,-0.08857415491,0.0261102649,0.1042521629
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.6,45,4551,666,0.05098742176,0.9695439946,-0.1144775483,0.03200094114,0.1210878813
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.6,60,4551,666,0.03346865064,1.098746759,-0.07903661142,0.0362974942,0.08790260596
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.8,15,4551,350,0.02771770677,0.5891891259,-0.06012262166,0.01945380296,0.05456496332
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.8,30,4551,350,0.04015951502,0.7909602539,-0.08857415491,0.0261102649,0.05348862644
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.8,45,4551,350,0.05098742176,0.9695439946,-0.1144775483,0.03200094114,0.04293429546
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,15,0.8,60,4551,350,0.03346865064,1.098746759,-0.07903661142,0.0362974942,-0.01029420098
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.4,15,4551,1938,0.02771770677,0.5891891259,-0.04389465149,0.01404548036,0.04027780412
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.4,30,4551,1938,0.04015951502,0.7909602539,-0.04404241923,0.01886436603,0.04073439446
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.4,45,4551,1938,0.05098742176,0.9695439946,-0.07305587352,0.02311206164,0.06901582183
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.4,60,4551,1938,0.03346865064,1.098746759,-0.04575289079,0.02621197892,0.0415012598
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.6,15,4551,1204,0.02771770677,0.5891891259,-0.04389465149,0.01404548036,0.05870691724
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.6,30,4551,1204,0.04015951502,0.7909602539,-0.04404241923,0.01886436603,0.08236265629
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.6,45,4551,1204,0.05098742176,0.9695439946,-0.07305587352,0.02311206164,0.1237239715
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.6,60,4551,1204,0.03346865064,1.098746759,-0.04575289079,0.02621197892,0.09867649037
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.8,15,4551,742,0.02771770677,0.5891891259,-0.04389465149,0.01404548036,0.0523097683
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.8,30,4551,742,0.04015951502,0.7909602539,-0.04404241923,0.01886436603,0.0794036093
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.8,45,4551,742,0.05098742176,0.9695439946,-0.07305587352,0.02311206164,0.1314939541
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,30,0.8,60,4551,742,0.03346865064,1.098746759,-0.04575289079,0.02621197892,0.1027998916
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.4,15,4551,2619,0.02771770677,0.5891891259,-0.01888328662,0.01002521472,0.01767730645
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.4,30,4551,2619,0.04015951502,0.7909602539,-0.01556378199,0.01346167543,0.01262749451
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.4,45,4551,2619,0.05098742176,0.9695439946,-0.02672819395,0.01649873058,0.02663851877
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.4,60,4551,2619,0.03346865064,1.098746759,-0.00732714218,0.01870245132,-0.001067213488
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.6,15,4551,1864,0.02771770677,0.5891891259,-0.01888328662,0.01002521472,0.02860264351
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.6,30,4551,1864,0.04015951502,0.7909602539,-0.01556378199,0.01346167543,0.0141736323
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.6,45,4551,1864,0.05098742176,0.9695439946,-0.02672819395,0.01649873058,0.03235965803
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.6,60,4551,1864,0.03346865064,1.098746759,-0.00732714218,0.01870245132,-0.002070145592
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.8,15,4551,1309,0.02771770677,0.5891891259,-0.01888328662,0.01002521472,0.03755527581
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.8,30,4551,1309,0.04015951502,0.7909602539,-0.01556378199,0.01346167543,0.005480618564
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.8,45,4551,1309,0.05098742176,0.9695439946,-0.02672819395,0.01649873058,0.03235040439
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,1,0,60,0.8,60,4551,1309,0.03346865064,1.098746759,-0.00732714218,0.01870245132,0.0002647986311
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.4,15,4594,1346,0.01603109985,0.622719226,-0.0913747378,0.02002245456,0.05827766721
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.4,30,4594,1346,0.01696372612,0.7835614258,-0.1080923586,0.02520069135,0.09370008024
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.4,45,4594,1346,0.0420826372,1.009914829,-0.1458187818,0.03247439384,0.1093379569
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.4,60,4594,1346,0.02057951765,1.114074203,-0.141777342,0.03584124573,0.1062929123
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.6,15,4594,696,0.01603109985,0.622719226,-0.0913747378,0.02002245456,0.07117938726
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.6,30,4594,696,0.01696372612,0.7835614258,-0.1080923586,0.02520069135,0.1012795968
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.6,45,4594,696,0.0420826372,1.009914829,-0.1458187818,0.03247439384,0.1341933108
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.6,60,4594,696,0.02057951765,1.114074203,-0.141777342,0.03584124573,0.128868189
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.8,15,4594,374,0.01603109985,0.622719226,-0.0913747378,0.02002245456,0.110645729
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.8,30,4594,374,0.01696372612,0.7835614258,-0.1080923586,0.02520069135,0.1371216896
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.8,45,4594,374,0.0420826372,1.009914829,-0.1458187818,0.03247439384,0.1967732222
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,15,0.8,60,4594,374,0.02057951765,1.114074203,-0.141777342,0.03584124573,0.1786675133
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.4,15,4594,1921,0.01603109985,0.622719226,-0.05866157013,0.01482919901,0.04725438462
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.4,30,4594,1921,0.01696372612,0.7835614258,-0.05543818204,0.01867328797,0.05539297192
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.4,45,4594,1921,0.0420826372,1.009914829,-0.08694916495,0.02405647639,0.09089745461
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.4,60,4594,1921,0.02057951765,1.114074203,-0.09263427094,0.02654012354,0.107822298
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.6,15,4594,1210,0.01603109985,0.622719226,-0.05866157013,0.01482919901,0.0371836225
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.6,30,4594,1210,0.01696372612,0.7835614258,-0.05543818204,0.01867328797,0.05471083606
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.6,45,4594,1210,0.0420826372,1.009914829,-0.08694916495,0.02405647639,0.08330408459
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.6,60,4594,1210,0.02057951765,1.114074203,-0.09263427094,0.02654012354,0.09921370219
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.8,15,4594,744,0.01603109985,0.622719226,-0.05866157013,0.01482919901,0.06229822045
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.8,30,4594,744,0.01696372612,0.7835614258,-0.05543818204,0.01867328797,0.08185840518
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.8,45,4594,744,0.0420826372,1.009914829,-0.08694916495,0.02405647639,0.09220425709
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,30,0.8,60,4594,744,0.02057951765,1.114074203,-0.09263427094,0.02654012354,0.0935325058
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.4,15,4594,2622,0.01603109985,0.622719226,-0.02761818396,0.01050342708,0.02167916542
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.4,30,4594,2622,0.01696372612,0.7835614258,-0.03303452767,0.01321731706,0.03348927869
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.4,45,4594,2622,0.0420826372,1.009914829,-0.04865124559,0.01703196289,0.04696923255
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.4,60,4594,2622,0.02057951765,1.114074203,-0.05123695365,0.01879006339,0.06197795774
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.6,15,4594,1866,0.01603109985,0.622719226,-0.02761818396,0.01050342708,0.02531264124
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.6,30,4594,1866,0.01696372612,0.7835614258,-0.03303452767,0.01321731706,0.04201106446
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.6,45,4594,1866,0.0420826372,1.009914829,-0.04865124559,0.01703196289,0.06553327807
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.6,60,4594,1866,0.02057951765,1.114074203,-0.05123695365,0.01879006339,0.07571478615
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.8,15,4594,1303,0.01603109985,0.622719226,-0.02761818396,0.01050342708,0.03232444045
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.8,30,4594,1303,0.01696372612,0.7835614258,-0.03303452767,0.01321731706,0.04339169953
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.8,45,4594,1303,0.0420826372,1.009914829,-0.04865124559,0.01703196289,0.06697280009
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,2,0,60,0.8,60,4594,1303,0.02057951765,1.114074203,-0.05123695365,0.01879006339,0.06937477603
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.4,15,4560,1199,0.0158773931,0.5329642121,-0.04886911315,0.01687618241,0.05637663125
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.4,30,4560,1199,0.02900354816,0.7155424432,-0.05286144397,0.02266478915,0.05566550926
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.4,45,4560,1199,0.04703894805,0.929305352,-0.05254777832,0.02944299762,0.06595200919
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.4,60,4560,1199,0.02434168659,1.076286937,-0.06076058572,0.03409982456,0.06633675907
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.6,15,4560,605,0.0158773931,0.5329642121,-0.04886911315,0.01687618241,0.05712625701
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.6,30,4560,605,0.02900354816,0.7155424432,-0.05286144397,0.02266478915,0.06417725586
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.6,45,4560,605,0.04703894805,0.929305352,-0.05254777832,0.02944299762,0.07306154219
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.6,60,4560,605,0.02434168659,1.076286937,-0.06076058572,0.03409982456,0.09668090992
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.8,15,4560,335,0.0158773931,0.5329642121,-0.04886911315,0.01687618241,0.03542418076
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.8,30,4560,335,0.02900354816,0.7155424432,-0.05286144397,0.02266478915,0.05308754318
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.8,45,4560,335,0.04703894805,0.929305352,-0.05254777832,0.02944299762,0.0819836128
EURUSD.DWX,WMR_1600,IS,ALL_HOURS,3,0,15,0.8,60,4560,335,0.02434168659,1.076286937,-0.06076058572,0.03409982456,0.1070081355
