checked_at_local,ready,status,card_status,card_ea_id,has_strategy_id,has_slug
2026-04-28T14:50:05+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:50:37+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:51:16+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:51:50+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:52:28+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:53:10+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:53:48+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:54:38+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:55:24+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:56:27+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:56:58+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:57:43+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:58:33+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:59:07+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T14:59:50+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:00:24+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:01:09+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:01:51+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:02:25+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:02:59+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:03:45+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:04:28+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:05:03+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:06:04+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:06:37+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:07:10+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:08:06+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:08:42+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:09:32+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:10:15+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:10:58+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:11:16+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:12:02+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:12:46+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:13:23+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:14:02+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:14:41+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:15:36+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:16:07+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:16:36+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:17:06+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:17:42+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:18:30+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:18:56+02:00,False,blocked,DRAFT,TBD,False,False
2026-04-28T15:19:36+02:00,False,blocked,DRAFT,TBD,False,False
