ts_broker,kind,order_id,symbol,reason,raw
2026-07-29T15:00:03.666,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:04.164,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:04.236,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:04.270,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:05.017,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:05.062,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:05.164,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:05.212,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:05.312,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:05.462,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:05.860,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:05.923,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:06.068,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:07.130,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:07.166,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:07.219,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:07.318,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:07.368,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:07.465,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:08.123,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:08.174,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:08.222,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:08.624,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:08.672,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:08.727,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:08.820,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:08.880,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:09.074,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:09.176,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:09.229,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:09.323,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:09.572,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:09.824,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:10.434,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:12.928,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:13.183,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:13.223,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:13.276,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:13.323,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:14.587,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:15.375,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:15.577,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:15.725,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:15.779,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:15.975,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:16.026,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:16.095,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:16.544,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:17.781,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
2026-07-29T15:00:20.428,failed_modify,3169417771,GBPUSD,Invalid stops,"'4000090541': failed modify #3169417771 buy 0.19 GBPUSD sl: 1.32715, tp: 1.33888 -> sl: 1.33010, tp: 1.33888 [Invalid stops]"
