"init_run_id","chart_id","suite","status","detail"
"41774365623703_1788830429_2096648015","41774365623703","compare_start_failure_rollback","PASS","prefix=QM_QA_FAIL_88830429_2096648015; derived_v2_length=42; initialized=1; before=1; deleted_label=1; rollback=1; cleanup=1; objects=21/21/0; bid=1.16287/1.16287; quote=2026.09.08 02:20:29 BT/2026.09.08 02:20:29 BT; restore_failure_injected=0"
"41774365623703_1788830429_2096648015","41774365623703","compare_render_failure_recovery","PASS","prefix=QM_RF_9_2096648015; collision=QM_CHART_V2_QM_RF_9_2096648015identity; initialized=1; injected=1; rejected=1; fault_removed=1; recovered=1; cleanup=1; remaining=0; bid=1.16287/1.16287; quote=2026.09.08 02:20:29 BT/2026.09.08 02:20:29 BT; restore_failure_injected=0"
"41774365623703_1788830429_2096648015","41774365623703","initial_start_failure_retry","PASS","prefix=QM_QA_INIT_88830429_2096648015; derived_v2_length=42; disabled=1; initialized=0; initial_failure=1; refresh_blocked=1; deleted_retry=1; invalid_retry=1; not_adopted=1; cleanup=1; objects=2/2/0; bid=/; quote=/; transient_capture_failure_injected=0; same_invalid_prefix_recovered=0; restore_failure_injected=0; tester_guard_exercised=0"
