datetime,currency,event_name,impact
2017-09-20 18:00:00,USD,FOMC Statement,high
2017-10-06 12:30:00,USD,Non-Farm Employment Change,high
2017-10-12 12:30:00,USD,PPI m/m,high
2017-10-13 12:30:00,USD,CPI m/m,high
2017-11-01 18:00:00,USD,FOMC Statement,high
2017-11-03 12:30:00,USD,Non-Farm Employment Change,high
2017-11-14 13:30:00,USD,PPI m/m,high
2017-11-15 13:30:00,USD,CPI m/m,high
2017-12-08 13:30:00,USD,Non-Farm Employment Change,high
2017-12-12 13:30:00,USD,PPI m/m,high
2017-12-13 13:30:00,USD,CPI m/m,high
2017-12-13 19:00:00,USD,FOMC Statement,high
2018-01-05 13:30:00,USD,Non-Farm Employment Change,high
2018-01-11 13:30:00,USD,PPI m/m,high
2018-01-12 13:30:00,USD,CPI m/m,high
2018-01-31 19:00:00,USD,FOMC Statement,high
2018-02-02 13:30:00,USD,Non-Farm Employment Change,high
2018-02-14 13:30:00,USD,CPI m/m,high
2018-02-15 13:30:00,USD,PPI m/m,high
2018-03-09 13:30:00,USD,Non-Farm Employment Change,high
2018-03-13 12:30:00,USD,CPI m/m,high
2018-03-14 12:30:00,USD,PPI m/m,high
2018-03-21 18:00:00,USD,FOMC Statement,high
2018-04-06 12:30:00,USD,Non-Farm Employment Change,high
2018-04-10 12:30:00,USD,PPI m/m,high
2018-04-11 12:30:00,USD,CPI m/m,high
2018-05-02 18:00:00,USD,FOMC Statement,high
2018-05-04 12:30:00,USD,Non-Farm Employment Change,high
2018-05-09 12:30:00,USD,PPI m/m,high
2018-05-10 12:30:00,USD,CPI m/m,high
2018-06-01 12:30:00,USD,Non-Farm Employment Change,high
2018-06-12 12:30:00,USD,CPI m/m,high
2018-06-13 12:30:00,USD,PPI m/m,high
2018-06-13 18:00:00,USD,FOMC Statement,high
2018-07-06 12:30:00,USD,Non-Farm Employment Change,high
2018-07-11 12:30:00,USD,PPI m/m,high
2018-07-12 12:30:00,USD,CPI m/m,high
2018-08-01 18:00:00,USD,FOMC Statement,high
2018-08-03 12:30:00,USD,Non-Farm Employment Change,high
2018-08-09 12:30:00,USD,PPI m/m,high
2018-08-10 12:30:00,USD,CPI m/m,high
2018-09-07 12:30:00,USD,Non-Farm Employment Change,high
2018-09-12 12:30:00,USD,PPI m/m,high
2018-09-13 12:30:00,USD,CPI m/m,high
2018-09-26 18:00:00,USD,FOMC Statement,high
2018-10-05 12:30:00,USD,Non-Farm Employment Change,high
2018-10-10 12:30:00,USD,PPI m/m,high
2018-10-11 12:30:00,USD,CPI m/m,high
2018-11-02 12:30:00,USD,Non-Farm Employment Change,high
2018-11-08 19:00:00,USD,FOMC Statement,high
2018-11-09 13:30:00,USD,PPI m/m,high
2018-11-14 13:30:00,USD,CPI m/m,high
2018-12-07 13:30:00,USD,Non-Farm Employment Change,high
2018-12-11 13:30:00,USD,PPI m/m,high
2018-12-12 13:30:00,USD,CPI m/m,high
2018-12-19 19:00:00,USD,FOMC Statement,high
2019-01-04 13:30:00,USD,Non-Farm Employment Change,high
2019-01-11 13:30:00,USD,CPI m/m,high
2019-01-15 13:30:00,USD,PPI m/m,high
2019-01-30 19:00:00,USD,FOMC Statement,high
2019-02-01 13:30:00,USD,Non-Farm Employment Change,high
2019-02-13 13:30:00,USD,CPI m/m,high
2019-02-14 13:30:00,USD,PPI m/m,high
2019-03-08 13:30:00,USD,Non-Farm Employment Change,high
2019-03-12 12:30:00,USD,CPI m/m,high
2019-03-13 12:30:00,USD,PPI m/m,high
2019-03-20 18:00:00,USD,FOMC Statement,high
2019-04-05 12:30:00,USD,Non-Farm Employment Change,high
2019-04-10 12:30:00,USD,CPI m/m,high
2019-04-11 12:30:00,USD,PPI m/m,high
2019-05-01 18:00:00,USD,FOMC Statement,high
2019-05-03 12:30:00,USD,Non-Farm Employment Change,high
2019-05-09 12:30:00,USD,PPI m/m,high
2019-05-10 12:30:00,USD,CPI m/m,high
2019-06-07 12:30:00,USD,Non-Farm Employment Change,high
2019-06-11 12:30:00,USD,PPI m/m,high
2019-06-12 12:30:00,USD,CPI m/m,high
2019-06-19 18:00:00,USD,FOMC Statement,high
2019-07-05 12:30:00,USD,Non-Farm Employment Change,high
2019-07-11 12:30:00,USD,CPI m/m,high
2019-07-12 12:30:00,USD,PPI m/m,high
2019-07-31 18:00:00,USD,FOMC Statement,high
2019-08-02 12:30:00,USD,Non-Farm Employment Change,high
2019-08-09 12:30:00,USD,PPI m/m,high
2019-08-13 12:30:00,USD,CPI m/m,high
2019-09-06 12:30:00,USD,Non-Farm Employment Change,high
2019-09-11 12:30:00,USD,PPI m/m,high
2019-09-12 12:30:00,USD,CPI m/m,high
2019-09-18 18:00:00,USD,FOMC Statement,high
2019-10-04 12:30:00,USD,Non-Farm Employment Change,high
2019-10-08 12:30:00,USD,PPI m/m,high
2019-10-10 12:30:00,USD,CPI m/m,high
2019-10-30 18:00:00,USD,FOMC Statement,high
2019-11-01 12:30:00,USD,Non-Farm Employment Change,high
2019-11-13 13:30:00,USD,CPI m/m,high
2019-11-14 13:30:00,USD,PPI m/m,high
2019-12-06 13:30:00,USD,Non-Farm Employment Change,high
2019-12-11 13:30:00,USD,CPI m/m,high
2019-12-11 19:00:00,USD,FOMC Statement,high
2019-12-12 13:30:00,USD,PPI m/m,high
2020-01-10 13:30:00,USD,Non-Farm Employment Change,high
2020-01-14 13:30:00,USD,CPI m/m,high
2020-01-15 13:30:00,USD,PPI m/m,high
2020-01-29 19:00:00,USD,FOMC Statement,high
2020-02-07 13:30:00,USD,Non-Farm Employment Change,high
2020-02-13 13:30:00,USD,CPI m/m,high
2020-02-19 13:30:00,USD,PPI m/m,high
2020-03-06 13:30:00,USD,Non-Farm Employment Change,high
2020-03-11 12:30:00,USD,CPI m/m,high
2020-03-12 12:30:00,USD,PPI m/m,high
2020-04-03 12:30:00,USD,Non-Farm Employment Change,high
2020-04-09 12:30:00,USD,PPI m/m,high
2020-04-10 12:30:00,USD,CPI m/m,high
2020-04-29 18:00:00,USD,FOMC Statement,high
2020-05-08 12:30:00,USD,Non-Farm Employment Change,high
2020-05-12 12:30:00,USD,CPI m/m,high
2020-05-13 12:30:00,USD,PPI m/m,high
2020-06-05 12:30:00,USD,Non-Farm Employment Change,high
2020-06-10 12:30:00,USD,CPI m/m,high
2020-06-10 18:00:00,USD,FOMC Statement,high
2020-06-11 12:30:00,USD,PPI m/m,high
2020-07-02 12:30:00,USD,Non-Farm Employment Change,high
2020-07-10 12:30:00,USD,PPI m/m,high
2020-07-14 12:30:00,USD,CPI m/m,high
2020-07-29 18:00:00,USD,FOMC Statement,high
2020-08-07 12:30:00,USD,Non-Farm Employment Change,high
2020-08-11 12:30:00,USD,PPI m/m,high
2020-08-12 12:30:00,USD,CPI m/m,high
2020-09-04 12:30:00,USD,Non-Farm Employment Change,high
2020-09-10 12:30:00,USD,PPI m/m,high
