currency,month,native_high_rows,candidate_primary_high_rows,usd_40_50_band,count_basis
ALL,2022-02,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2022-03,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2022-06,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2022-08,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2023-06,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2023-07,0,2,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2023-08,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2023-11,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2024-08,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
ALL,2026-08,0,1,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-01,0,10,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-02,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-03,0,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-04,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-05,0,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-06,0,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-07,0,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-08,0,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-09,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-10,0,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-11,0,21,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2015-12,0,11,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-01,0,10,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-02,0,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-03,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-04,0,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-05,0,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-06,0,13,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-07,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-08,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-09,0,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-10,0,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-11,0,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2016-12,0,13,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-01,0,9,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-02,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-03,0,13,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-04,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-05,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-06,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-07,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-08,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-09,0,19,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-10,0,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-11,0,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2017-12,0,13,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-01,0,8,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-02,3,13,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-03,2,19,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-04,2,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-05,4,17,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-06,3,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-07,1,11,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-08,4,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-09,2,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-10,1,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-11,3,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2018-12,1,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-01,0,8,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-02,3,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-03,2,17,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-04,1,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-05,2,18,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-06,4,17,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-07,3,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-08,3,20,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-09,2,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-10,4,19,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-11,2,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2019-12,2,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-01,0,9,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-02,4,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-03,3,17,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-04,2,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-05,3,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-06,2,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-07,2,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-08,2,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-09,1,11,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-10,2,20,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-11,4,17,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2020-12,3,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-01,0,9,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-02,3,13,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-03,3,16,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-04,1,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-05,1,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-06,2,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-07,4,14,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-08,2,11,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-09,2,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-10,2,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-11,2,19,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2021-12,3,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2022-01,0,10,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2022-02,4,15,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2022-03,4,13,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2022-04,1,12,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
AUD,2022-05,1,17,NOT_APPLICABLE,NATIVE_OBSERVED_NO_SCHEDULE_SYNTHESIS
