weekend_id,symbol,era,friday_close_utc,sunday_open_utc,friday_close,sunday_open,gap_raw,gap_pips,gap_dir,trade_side,atr_d1,gap_size_atr,high_5d,low_5d,range_5d,range_pos,range_bucket,is_conditioned,triggered,filled_by_timestop,filled_full_week,fill_time_utc,fill_elapsed_min,exit_reason,exit_time_utc,exit_price,mae_pips,mae_bp,gross_pnl_pips,gross_pnl_bp,spread_pips,net_pnl_pips,net_pnl_bp
2018-01-19_2018-01-21,EURUSD.DWX,IS,2018-01-19T21:50:00Z,2018-01-21T22:05:00Z,1.22202,1.22651,0.00449,44.9,1,SHORT,0.0099,0.4535,1.23231,1.2165,0.01581,0.3491,MIDDLE_THIRD,0,1,1,1,2018-01-22T04:10:00Z,365,FILL,2018-01-22T04:10:00Z,1.22202,0.2,0.16,44.9,36.61,0.5,44.4,36.2
2018-01-26_2018-01-28,EURUSD.DWX,IS,2018-01-26T21:50:00Z,2018-01-28T22:05:00Z,1.2424,1.2423,-0.0001,-1,-1,LONG,0.0111,0.009,1.25378,1.22138,0.0324,0.6488,MIDDLE_THIRD,0,0,0,1,2018-01-28T23:40:00Z,95,STOP,2018-01-28T22:05:00Z,1.2422,7,5.63,-1,-0.8,0.5,-1.5,-1.21
2018-02-02_2018-02-04,EURUSD.DWX,IS,2018-02-02T21:50:00Z,2018-02-04T22:05:00Z,1.24526,1.24305,-0.00221,-22.1,-1,LONG,0.01086,0.2034,1.2523,1.2335,0.0188,0.6255,MIDDLE_THIRD,0,0,1,1,2018-02-04T23:40:00Z,95,FILL,2018-02-04T23:40:00Z,1.24526,6.1,4.91,22.1,17.78,0.5,21.6,17.38
2018-02-09_2018-02-11,EURUSD.DWX,IS,2018-02-09T21:50:00Z,2018-02-11T22:05:00Z,1.22499,1.22433,-0.00066,-6.6,-1,LONG,0.01151,0.0573,1.24748,1.22054,0.02694,0.1652,LOWER_THIRD,0,0,1,1,2018-02-11T22:30:00Z,25,FILL,2018-02-11T22:30:00Z,1.22499,0.2,0.16,6.6,5.39,0.5,6.1,4.98
2018-02-16_2018-02-18,EURUSD.DWX,IS,2018-02-16T21:50:00Z,2018-02-18T22:05:00Z,1.24096,1.24007,-0.00089,-8.9,-1,LONG,0.01126,0.0791,1.25559,1.2235,0.03209,0.5441,MIDDLE_THIRD,0,0,1,1,2018-02-18T22:10:00Z,5,FILL,2018-02-18T22:10:00Z,1.24096,0,0,8.9,7.18,0.5,8.4,6.77
2018-02-23_2018-02-25,EURUSD.DWX,IS,2018-02-23T21:50:00Z,2018-02-25T22:05:00Z,1.22962,1.22925,-0.00037,-3.7,-1,LONG,0.00998,0.0371,1.24351,1.22596,0.01755,0.2085,LOWER_THIRD,0,0,0,1,2018-02-26T01:05:00Z,180,STOP,2018-02-25T22:25:00Z,1.22888,5.8,4.72,-3.7,-3.01,0.5,-4.2,-3.42
2018-03-02_2018-03-04,EURUSD.DWX,IS,2018-03-02T21:50:00Z,2018-03-04T22:05:00Z,1.23218,1.23315,0.00097,9.7,1,SHORT,0.00963,0.1007,1.23553,1.21547,0.02006,0.833,UPPER_THIRD,0,0,0,1,2018-03-04T23:15:00Z,70,STOP,2018-03-04T22:05:00Z,1.23412,17.3,14.03,-9.7,-7.87,0.5,-10.2,-8.27
2018-03-09_2018-03-11,EURUSD.DWX,IS,2018-03-09T21:50:00Z,2018-03-11T21:05:00Z,1.23048,1.23124,0.00076,7.6,1,SHORT,0.00884,0.0859,1.24462,1.22689,0.01773,0.2025,LOWER_THIRD,1,0,0,1,2018-03-12T11:20:00Z,855,STOP,2018-03-12T02:10:00Z,1.232,9.5,7.72,-7.6,-6.17,0.5,-8.1,-6.58
2018-03-16_2018-03-18,EURUSD.DWX,IS,2018-03-16T20:50:00Z,2018-03-18T21:05:00Z,1.22877,1.22854,-0.00023,-2.3,-1,LONG,0.00866,0.0265,1.24126,1.226,0.01526,0.1815,LOWER_THIRD,0,0,1,1,2018-03-18T21:05:00Z,0,FILL,2018-03-18T21:05:00Z,1.22877,0.6,0.49,2.3,1.87,0.5,1.8,1.47
2018-03-23_2018-03-25,EURUSD.DWX,IS,2018-03-23T20:50:00Z,2018-03-25T21:05:00Z,1.23529,1.23516,-0.00013,-1.3,-1,LONG,0.00883,0.0147,1.23885,1.22397,0.01488,0.7608,UPPER_THIRD,1,0,0,1,2018-03-25T21:05:00Z,0,STOP,2018-03-25T21:05:00Z,1.23503,2.3,1.86,-1.3,-1.05,0.5,-1.8,-1.46
