family,symbol,gate,distinct_fail_pairs
other,GBPJPY.DWX,Q07,2
trend/momentum,AUDUSD.DWX,Q05,2
range/fade,USDJPY.DWX,Q08,2
range/fade,EURGBP.DWX,Q02,2
mean-reversion,XTIUSD.DWX,Q03,2
trend/momentum,EURUSD.DWX,Q08,2
oscillator/other,USDCAD.DWX,Q05,2
grid/pyramid,XTIUSD.DWX,Q04,2
grid/pyramid,USDCAD.DWX,Q04,2
oscillator/other,GDAXI.DWX,Q08,2
trend/momentum,XNGUSD.DWX,Q07,2
trend/momentum,XTIUSD.DWX,Q07,2
trend/momentum,SP500.DWX,Q07,2
other,GBPJPY.DWX,Q08,2
breakout,USDJPY.DWX,Q09_PORTFOLIO,2
trend/momentum,XNGUSD.DWX,Q05,2
grid/pyramid,WS30.DWX,Q04,2
other,USDCAD.DWX,Q05,2
pullback,XAUUSD.DWX,Q05,2
trend/momentum,XTIUSD.DWX,Q09_PORTFOLIO,2
grid/pyramid,WS30.DWX,Q05,2
range/fade,EURJPY.DWX,Q04,2
grid/pyramid,EURUSD.DWX,Q08,2
pattern,EURJPY.DWX,Q04,2
grid/pyramid,XTIUSD.DWX,Q02,2
grid/pyramid,XAUUSD.DWX,Q04,2
trend/momentum,USDJPY.DWX,Q07,2
mean-reversion,NDX.DWX,Q07,2
breakout,GDAXI.DWX,Q07,2
pattern,EURUSD.DWX,Q05,2
breakout,AUDUSD.DWX,P2,1
breakout,SP500.DWX,P2,1
breakout,WS30.DWX,P2,1
breakout,NDX.DWX,P2,1
basket/statarb,AUDJPY.DWX,P2,1
basket/statarb,AUDUSD.DWX,P2,1
basket/statarb,NZDJPY.DWX,P2,1
basket/statarb,NZDUSD.DWX,P2,1
basket/statarb,SP500.DWX,P2,1
basket/statarb,USDCHF.DWX,P2,1
other,EURUSD.DWX,P2,1
other,USDCAD.DWX,P2,1
breakout,SP500.DWX,Q03,1
breakout,NDX.DWX,Q03,1
basket/statarb,CADCHF.DWX,Q04,1
pullback,EURUSD.DWX,Q03,1
pullback,GBPUSD.DWX,Q03,1
oscillator/other,SP500.DWX,Q03,1
other,NDX.DWX,Q06,1
basket/statarb,NDX.DWX,Q05,1
oscillator/other,GBPCAD.DWX,Q02,1
oscillator/other,GBPCHF.DWX,Q02,1
range/fade,GDAXI.DWX,Q05,1
breakout,EURCHF.DWX,Q04,1
pullback,GDAXI.DWX,Q05,1
basket/statarb,AUDCAD.DWX,Q04,1
basket/statarb,AUDNZD.DWX,Q04,1
basket/statarb,CADJPY.DWX,Q04,1
other,AUDUSD.DWX,Q03,1
oscillator/other,AUDCAD.DWX,Q08,1
mean-reversion,SP500.DWX,Q03,1
breakout,EURUSD.DWX,Q06,1
basket/statarb,AUDCHF.DWX,Q04,1
pullback,WS30.DWX,Q04,1
breakout,GDAXI.DWX,Q03,1
session/ORB,USDCHF.DWX,Q02,1
basket/statarb,EURCAD.DWX,Q02,1
other,GDAXI.DWX,Q03,1
range/fade,USDCHF.DWX,Q02,1
pattern,EURJPY.DWX,Q02,1
oscillator/other,AUDCAD.DWX,Q02,1
oscillator/other,AUDCHF.DWX,Q02,1
oscillator/other,AUDJPY.DWX,Q02,1
oscillator/other,CADJPY.DWX,Q02,1
oscillator/other,CHFJPY.DWX,Q02,1
oscillator/other,EURCAD.DWX,Q02,1
oscillator/other,EURCHF.DWX,Q02,1
oscillator/other,EURNZD.DWX,Q02,1
session/ORB,XAGUSD.DWX,Q02,1
basket/statarb,NZDJPY.DWX,Q04,1
basket/statarb,NZDUSD.DWX,Q03,1
basket/statarb,EURCHF.DWX,Q04,1
basket/statarb,EURGBP.DWX,Q04,1
mean-reversion,NDX.DWX,Q06,1
mean-reversion,XNGUSD.DWX,Q08,1
pattern,USDCHF.DWX,Q02,1
pattern,NZDUSD.DWX,Q02,1
breakout,AUDUSD.DWX,Q08,1
basket/statarb,QM5_12533_EURJPY_GBPJPY_COINTEGRATION_D1,Q02,1
oscillator/other,AUDCAD.DWX,Q09_PORTFOLIO,1
oscillator/other,QM5_1023_XTI_XAU_BBPAIR_D1,Q04,1
basket/statarb,QM5_1156_EURUSD_GBPUSD_COINTEGRATION_M30,Q04,1
other,QM5_12604_XTI_XAU_RATIO_D1,Q04,1
breakout,QM5_12605_XTI_XAU_BRK_D1,Q04,1
basket/statarb,QM5_12533_EURJPY_GBPJPY_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_10009_AUD_NZD_CAD_COINTEG_D1,Q02,1
mean-reversion,QM5_12609_XTI_USDCAD_SPREAD_D1,Q04,1
basket/statarb,UK100.DWX,Q02,1
oscillator/other,GBPNZD.DWX,Q02,1
oscillator/other,NZDJPY.DWX,Q02,1
breakout,EURUSD.DWX,Q09_PORTFOLIO,1
breakout,AUDUSD.DWX,Q09_PORTFOLIO,1
range/fade,XAUUSD.DWX,Q05,1
range/fade,EURCAD.DWX,Q02,1
basket/statarb,QM5_12728_NZDUSD_GBPJPY_COINTEGRATION_D1,Q04,1
basket/statarb,USDJPY.DWX,Q03,1
trend/momentum,WS30.DWX,Q03,1
basket/statarb,QM5_12723_NZDUSD_EURJPY_COINTEGRATION_D1,Q04,1
breakout,XTIUSD.DWX,Q03,1
mean-reversion,EURUSD.DWX,Q03,1
oscillator/other,USDJPY.DWX,Q03,1
other,USDCHF.DWX,Q03,1
basket/statarb,QM5_12732_EURUSD_GBPUSD_COINTEGRATION_D1,Q04,1
pullback,SP500.DWX,Q05,1
basket/statarb,QM5_12735_EURUSD_NZDUSD_COINTEGRATION_D1,Q04,1
grid/pyramid,QM5_12731_USDCAD_EURGBP_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12739_GBPUSD_AUDUSD_COINTEGRATION_D1,Q04,1
other,EURUSD.DWX,Q08,1
basket/statarb,QM5_12532_AUDNZD_COINTEGRATION_D1,Q05,1
basket/statarb,QM5_12749_NZDUSD_AUDJPY_COINTEGRATION_D1,Q02,1
basket/statarb,QM5_12747_EURUSD_AUDUSD_COINTEGRATION_D1,Q04,1
breakout,QM5_12722_XTI_USDCAD_BRK_D1,Q04,1
basket/statarb,QM5_12758_GBPUSD_EURAUD_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12770_EURUSD_EURGBP_COINTEGRATION_D1,Q04,1
trend/momentum,QM5_12733_XTI_XNG_XMOM_D1,Q04,1
basket/statarb,QM5_12768_USDJPY_EURJPY_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12751_EURUSD_EURAUD_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12624_EURJPY_AUDJPY_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12765_GBPUSD_NZDUSD_COINTEGRATION_D1,Q04,1
grid/pyramid,QM5_12762_USDJPY_USDCAD_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12776_AUDUSD_GBPJPY_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12766_USDJPY_USDCHF_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12781_USDJPY_AUDJPY_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12786_USDCHF_EURGBP_COINTEGRATION_D1,Q04,1
grid/pyramid,QM5_12756_USDCHF_USDCAD_COINTEGRATION_D1,Q04,1
mean-reversion,QM5_12709_COMM_REV1M_D1,Q04,1
basket/statarb,QM5_12615_TSMOM_XASSET_D1,Q02,1
basket/statarb,QM5_12764_USDJPY_GBPJPY_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_10009_AUD_NZD_CAD_COINTEG_D1,Q03,1
basket/statarb,QM5_10009_AUD_NZD_CAD_COINTEG_D1,Q04,1
basket/statarb,QM5_12783_AUDUSD_AUDJPY_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12760_GBPUSD_GBPJPY_COINTEGRATION_D1,Q04,1
grid/pyramid,QM5_12803_USDCAD_EURAUD_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12749_NZDUSD_AUDJPY_COINTEGRATION_D1,Q04,1
other,QM5_12813_XTI_XNG_SEASON_SWITCH_D1,Q04,1
other,QM5_12824_XNG_XAU_RATIO_D1,Q04,1
breakout,QM5_12848_WTI_BRENT_BRK_D1,Q02,1
other,QM5_12826_XNG_XAG_RATIO_D1,Q04,1
trend/momentum,AUDJPY.DWX,Q03,1
basket/statarb,QM5_10024_RW_FX_COMM_BASKET_D1,Q02,1
oscillator/other,GBPJPY.DWX,Q08,1
other,QM5_12860_WTI_BRENT_RSHOCK_D1,Q02,1
breakout,EURNZD.DWX,Q04,1
basket/statarb,XNGUSD.DWX,Q02,1
pullback,XAGUSD.DWX,Q04,1
grid/pyramid,QM5_12978_GBPUSD_USDCAD_COINTEGRATION_D1,Q04,1
pattern,NDX.DWX,Q05,1
mean-reversion,GDAXI.DWX,Q05,1
session/ORB,SP500.DWX,Q05,1
other,GBPUSD.DWX,Q09_PORTFOLIO,1
breakout,NDX.DWX,Q08,1
range/fade,GBPUSD.DWX,Q08,1
oscillator/other,SP500.DWX,Q08,1
other,USDCAD.DWX,Q08,1
oscillator/other,AUDCAD.DWX,Q06,1
mean-reversion,EURCHF.DWX,Q03,1
grid/pyramid,QM5_13003_USDCAD_NZDUSD_COINTEGRATION_D1,Q04,1
basket/statarb,QM5_12772_GBPJPY_AUDJPY_COINTEGRATION_D1,Q08,1
basket/statarb,QM5_12778_AUDUSD_EURJPY_COINTEGRATION_D1,Q08,1
other,AUDJPY.DWX,Q08,1
other,QM5_12993_XNG_XAU_RSPREAD_D1,Q04,1
breakout,QM5_12797_XTI_XAG_BRK_D1,Q04,1
other,QM5_12825_XTI_EURUSD_SPREAD_D1,Q04,1
breakout,QM5_12827_XNG_XAG_BRK_D1,Q04,1
breakout,QM5_12835_XTI_USDCHF_BRK_D1,Q04,1
trend/momentum,GBPUSD.DWX,Q06,1
other,QM5_13011_XTI_CADCHF_RSPREAD_D1,Q04,1
pullback,USDJPY.DWX,Q08,1
mean-reversion,WS30.DWX,Q08,1
trend/momentum,WS30.DWX,Q08,1
breakout,SP500.DWX,Q08,1
mean-reversion,USDJPY.DWX,Q09_PORTFOLIO,1
mean-reversion,XAUUSD.DWX,Q09_PORTFOLIO,1
pattern,EURJPY.DWX,Q08,1
other,QM5_12864_XTI_XAG_RSPREAD_D1,Q08,1
other,QM5_12864_XTI_XAG_RSPREAD_D1,Q09_PORTFOLIO,1
mean-reversion,QM5_12957_COMM_REV1M_D1,Q04,1
other,QM5_13002_XNG_CAD_RSPREAD_D1,Q04,1
other,QM5_13006_XTI_NZD_RSPREAD_D1,Q04,1
other,QM5_12840_XTI_XNG_RSPREAD_D1,Q04,1
other,QM5_13010_XTI_CADJPY_RSPREAD_D1,Q05,1
basket/statarb,QM5_12862_XAU_XAG_RSPREAD_D1,Q04,1
other,QM5_12868_XNG_XAG_RSPREAD_D1,Q05,1
other,QM5_12863_XTI_XAU_RSPREAD_D1,Q04,1
other,QM5_13008_XNG_AUD_RSPREAD_D1,Q04,1
mean-reversion,QM5_12837_XTI_AUDNZD_MR_D1,Q04,1
grid/pyramid,QM5_13024_AUDCAD_GBPAUD_COINTEGRATION_D1,Q04,1
pattern,USDCHF.DWX,Q08,1
mean-reversion,XAUUSD.DWX,Q05,1
other,QM5_13029_GBPCAD_GBPNZD_COINTEGRATION_D1,Q04,1
mean-reversion,AUDNZD.DWX,Q03,1
basket/statarb,QM5_12781_USDJPY_AUDJPY_COINTEGRATION_D1,Q08,1
breakout,QM5_12831_XTI_AUDUSD_BRK_D1,Q08,1
grid/pyramid,QM5_13034_XTI_AUDCAD_RSPREAD_D1,Q04,1
breakout,QM5_12831_XTI_AUDUSD_BRK_D1,Q09_PORTFOLIO,1
grid/pyramid,QM5_13058_AUDCAD_GBPNZD_COINTEGRATION_D1,Q04,1
grid/pyramid,QM5_13062_AUDCAD_EURUSD_COINTEGRATION_D1,Q04,1
other,QM5_13057_XTI_GBPCAD_RSPREAD_D1,Q05,1
basket/statarb,QM5_12712_EURGBP_EURAUD_COINTEGRATION_D1,Q09_PORTFOLIO,1
other,QM5_13060_XTI_EURCAD_RSPREAD_D1,Q04,1
other,QM5_13071_XTI_USDCHF_RSPREAD_D1,Q04,1
oscillator/other,GDAXI.DWX,Q06,1
other,QM5_13073_XTI_AUDUSD_RSPREAD_D1,Q04,1
grid/pyramid,QM5_13076_XTI_NZDCAD_RSPREAD_D1,Q08,1
grid/pyramid,QM5_13076_XTI_NZDCAD_RSPREAD_D1,Q09_PORTFOLIO,1
other,QM5_13090_XTI_XCU_RSPREAD_D1,Q02,1
other,QM5_1257_AUDUSD_USDJPY_COINTEGRATION_H1,Q02,1
breakout,QM5_13094_XTI_XCU_BRK_D1,Q02,1
pattern,EURUSD.DWX,Q03,1
basket/statarb,QM5_1017_AUDUSD_NZDUSD_COINTEGRATION_D1,Q02,1
basket/statarb,QM5_9184_AUDUSD_NZDUSD_COINTEGRATION_D1,Q04,1
other,QM5_13106_AUDUSD_EURGBP_COINTEGRATION_D1,Q04,1
other,EURJPY.DWX,Q03,1
other,QM5_13115_ENERGY_SAMECAL_D1,Q02,1
oscillator/other,NDX.DWX,Q03,1
mean-reversion,QM5_13120_ENERGY_MOMREV_D1,Q02,1
trend/momentum,QM5_13121_ENERGY_TFMOM_D1,Q02,1
other,QM5_13123_ENERGY_VALUE_D1,Q02,1
other,QM5_13132_XTI_XNG_BAB_D1,Q02,1
oscillator/other,QM5_13133_XTI_XNG_IVOL_D1,Q02,1
other,QM5_13139_XTI_XNG_CV_D1,Q02,1
other,QM5_13141_XTI_XNG_IE_D1,Q02,1
other,QM5_13142_XTI_XNG_SAL_D1,Q02,1
other,QM5_13119_USDJPY_EURAUD_COINTEGRATION_D1,Q04,1
other,QM5_13148_XTI_XNG_RANK_LMH_D1,Q02,1
other,QM5_13117_EURGBP_AUDJPY_COINTEGRATION_D1,Q08,1
other,QM5_13205_XAU_XAG_QC_D1,Q02,1
session/ORB,GBPUSD.DWX,Q05,1
basket/statarb,QM5_1058_EURUSD_GBPUSD_GGR_D1,Q08,1
grid/pyramid,USDJPY.DWX,Q08,1
grid/pyramid,USDJPY.DWX,Q09_PORTFOLIO,1
breakout,XAGUSD.DWX,Q07,1
trend/momentum,EURJPY.DWX,Q08,1
breakout,XAGUSD.DWX,Q08,1
breakout,XAGUSD.DWX,Q06,1
breakout,XTIUSD.DWX,Q06,1
breakout,XNGUSD.DWX,Q07,1
mean-reversion,XAGUSD.DWX,Q07,1
mean-reversion,XAGUSD.DWX,Q08,1
trend/momentum,SP500.DWX,Q09_PORTFOLIO,1
oscillator/other,SP500.DWX,Q07,1
other,WS30.DWX,Q08,1
other,WS30.DWX,Q09_PORTFOLIO,1
breakout,EURAUD.DWX,Q05,1
breakout,EURNZD.DWX,Q08,1
mean-reversion,AUDCAD.DWX,Q08,1
breakout,EURNZD.DWX,Q07,1
mean-reversion,NZDUSD.DWX,Q08,1
mean-reversion,AUDCAD.DWX,Q09_PORTFOLIO,1
mean-reversion,NZDUSD.DWX,Q07,1
oscillator/other,XAUUSD.DWX,Q06,1
other,GDAXI.DWX,Q06,1
other,GBPJPY.DWX,Q05,1
other,CHFJPY.DWX,Q07,1
other,CHFJPY.DWX,Q06,1
mean-reversion,AUDUSD.DWX,Q09_PORTFOLIO,1
trend/momentum,EURGBP.DWX,Q05,1
mean-reversion,GBPAUD.DWX,Q05,1
other,CHFJPY.DWX,Q08,1
other,CHFJPY.DWX,Q09_PORTFOLIO,1
trend/momentum,AUDCHF.DWX,Q07,1
other,CADJPY.DWX,Q05,1
other,EURCAD.DWX,Q05,1
trend/momentum,USDCHF.DWX,Q05,1
other,EURJPY.DWX,Q06,1
other,EURJPY.DWX,Q07,1
breakout,GDAXI.DWX,Q09_PORTFOLIO,1
oscillator/other,EURUSD.DWX,Q08,1
pullback,USDCHF.DWX,Q05,1
oscillator/other,XAUUSD.DWX,Q07,1
mean-reversion,CADJPY.DWX,Q05,1
session/ORB,USDJPY.DWX,Q08,1
mean-reversion,GBPNZD.DWX,Q08,1
mean-reversion,GBPJPY.DWX,Q07,1
breakout,EURUSD.DWX,Q05,1
mean-reversion,GBPJPY.DWX,Q08,1
mean-reversion,EURGBP.DWX,Q08,1
trend/momentum,USDJPY.DWX,Q06,1
range/fade,AUDJPY.DWX,Q04,1
mean-reversion,USDJPY.DWX,Q06,1
breakout,USDJPY.DWX,Q07,1
session/ORB,CADJPY.DWX,Q04,1
session/ORB,NZDJPY.DWX,Q04,1
basket/statarb,QM5_13089_XTI_XNG_CARRY_D1,Q04,1
range/fade,USDJPY.DWX,Q09_PORTFOLIO,1
trend/momentum,QM5_13113_ENERGY_MOM_IVOL_D1,Q04,1
other,QM5_13118_ENERGY_SKEW_RANK_D1,Q04,1
basket/statarb,QM5_13126_ENERGY_MOMCARRY_D1,Q04,1
other,QM5_13130_XTI_XNG_LOWMAX_D1,Q04,1
range/fade,EURCHF.DWX,Q02,1
pullback,AUDJPY.DWX,Q02,1
other,QM5_13131_XTI_XNG_HKURT_D1,Q04,1
mean-reversion,USDJPY.DWX,Q07,1
breakout,XAGUSD.DWX,Q05,1
mean-reversion,XAGUSD.DWX,Q03,1
other,QM5_13140_XTI_XNG_ALIQ_D1,Q08,1
trend/momentum,SP500.DWX,Q06,1
other,QM5_13129_ENERGY_RSJ_D1,Q04,1
other,QM5_13143_XTI_XNG_ES_D1,Q04,1
other,QM5_20016_XTI_XNG_MON_RV_D1,Q02,1
trend/momentum,QM5_13145_ENERGY_IDMOM_D1,Q04,1
other,QM5_13147_XTI_XNG_JBETA_D1,Q04,1
trend/momentum,QM5_13149_XTI_XNG_TREND36_D1,Q04,1
oscillator/other,QM5_13151_XTI_XNG_VBETA_D1,Q04,1
trend/momentum,QM5_1224_FX7_XMOM_D1,Q02,1
other,QM5_13147_XTI_XNG_JBETA_D1,Q08,1
oscillator/other,USDCHF.DWX,Q06,1
session/ORB,USDJPY.DWX,Q05,1
oscillator/other,QM5_13151_XTI_XNG_VBETA_D1,Q08,1
other,QM5_13203_XTI_XNG_DOWNBETA_D1,Q04,1
basket/statarb,QM5_20019_XAU_XAG_WKEND_H1,Q04,1
trend/momentum,USDCAD.DWX,Q06,1
oscillator/other,UK100.DWX,Q08,1
other,QM5_13144_XTI_XNG_MICRO11_D1,Q08,1
oscillator/other,UK100.DWX,Q05,1
oscillator/other,USDJPY.DWX,Q08,1
oscillator/other,USDJPY.DWX,Q09_PORTFOLIO,1
oscillator/other,GDAXI.DWX,Q09_PORTFOLIO,1
mean-reversion,XTIUSD.DWX,Q07,1
trend/momentum,XAGUSD.DWX,Q03,1
trend/momentum,QM5_20051_XTI_XNG_XMOM1_D1,Q04,1
breakout,GBPUSD.DWX,Q05,1
other,USDCHF.DWX,Q05,1
mean-reversion,GBPUSD.DWX,Q03,1
range/fade,AUDCAD.DWX,Q02,1
range/fade,AUDNZD.DWX,Q02,1
oscillator/other,NZDUSD.DWX,Q08,1
trend/momentum,NDX.DWX,Q10,1
other,QM5_20157_XAUUSD_XAGUSD_RATIO_D1,Q04,1
other,QM5_20165_ENERGY_LEV_CONV_D1,Q04,1
trend/momentum,XAGUSD.DWX,Q07,1
other,QM5_13059_XTI_AUDJPY_RSPREAD_D1,Q08,1
mean-reversion,EURJPY.DWX,Q09_PORTFOLIO,1
session/ORB,XNGUSD.DWX,Q04,1
other,QM5_13059_XTI_AUDJPY_RSPREAD_D1,Q09_PORTFOLIO,1
other,QM5_13146_XTI_XNG_VOV_D1,Q08,1
basket/statarb,AUDUSD.DWX,Q03,1
oscillator/other,USDJPY.DWX,Q06,1
other,EURGBP.DWX,Q03,1
pattern,GBPUSD.DWX,Q05,1
grid/pyramid,EURUSD.DWX,Q02,1
grid/pyramid,GBPUSD.DWX,Q02,1
basket/statarb,QM5_12724_XAU_XAG_BRK_D1,Q04,1
other,QM5_20183_GBPUSD_USDCHF_COINTEGRATION_D1,Q02,1
basket/statarb,QM5_20186_XAU_XAG_SAMECAL_D1,Q02,1
basket/statarb,QM5_20189_XAU_XAG_CALMOM1_D1,Q02,1
grid/pyramid,EURGBP.DWX,Q02,1
range/fade,USDJPY.DWX,Q06,1
other,QM5_20191_EURUSD_USDCHF_COINTEGRATION_D1,Q02,1
other,QM5_20193_EURUSD_USDCAD_COINTEGRATION_D1,Q02,1
basket/statarb,QM5_20194_XAU_XAG_MOMREV_D1,Q02,1
other,QM5_20197_EURJPY_EURGBP_COINTEGRATION_D1,Q04,1
other,QM5_20200_AUDJPY_EURAUD_COINTEGRATION_D1,Q02,1
other,QM5_20199_EURJPY_EURAUD_COINTEGRATION_D1,Q04,1
other,QM5_20201_GBPJPY_EURGBP_COINTEGRATION_D1,Q04,1
breakout,XAUUSD.DWX,Q06,1
mean-reversion,SP500.DWX,Q06,1
grid/pyramid,QM5_20207_USDCAD_AUDUSD_COINTEGRATION_D1,Q04,1
other,QM5_20210_GBPUSD_AUDJPY_COINTEGRATION_D1,Q04,1
other,QM5_20212_GBPUSD_EURJPY_COINTEGRATION_D1,Q04,1
other,QM5_20216_AUDUSD_EURAUD_COINTEGRATION_D1,Q02,1
other,QM5_20219_USDJPY_NZDUSD_COINTEGRATION_D1,Q04,1
grid/pyramid,QM5_20220_USDCAD_AUDJPY_COINTEGRATION_D1,Q04,1
other,QM5_20223_GBPUSD_EURGBP_COINTEGRATION_D1,Q04,1
other,QM5_20203_EURUSD_AUDJPY_COINTEGRATION_D1,Q04,1
other,QM5_20225_EURUSD_GBPJPY_COINTEGRATION_D1,Q02,1
grid/pyramid,QM5_20228_USDCAD_GBPJPY_COINTEGRATION_D1,Q04,1
other,QM5_20232_USDCHF_NZDUSD_COINTEGRATION_D1,Q04,1
other,QM5_20237_XTI_XNG_ECM_D1,Q02,1
mean-reversion,USDCAD.DWX,Q06,1
session/ORB,NZDUSD.DWX,Q02,1
grid/pyramid,EURJPY.DWX,Q04,1
other,QM5_20252_USDCHF_EURAUD_COINTEGRATION_D1,Q02,1
session/ORB,USDCHF.DWX,Q04,1
other,QM5_20240_USDCHF_GBPJPY_COINTEGRATION_D1,Q04,1
grid/pyramid,QM5_20238_USDCAD_EURJPY_COINTEGRATION_D1,Q04,1
other,QM5_20246_USDJPY_EURGBP_COINTEGRATION_D1,Q04,1
other,QM5_20250_USDCHF_AUDJPY_COINTEGRATION_D1,Q04,1
range/fade,EURCAD.DWX,Q05,1
breakout,USDJPY.DWX,Q05,1
breakout,GBPUSD.DWX,Q07,1
other,QM5_20255_USDCHF_EURJPY_COINTEGRATION_D1,Q04,1
other,QM5_20196_EURUSD_USDJPY_COINTEGRATION_D1,Q04,1
trend/momentum,XNGUSD.DWX,Q03,1
other,QM5_20195_NZDUSD_EURGBP_COINTEGRATION_D1,Q04,1
other,XTIUSD.DWX,Q06,1
range/fade,SP500.DWX,Q06,1
range/fade,EURUSD.DWX,Q05,1
range/fade,QM5_20275_XAU_XAG_RUNFADE_D1,Q04,1
pullback,GBPUSD.DWX,Q05,1
basket/statarb,QM5_1156_USDCHF_AUDUSD_COINTEGRATION_M30,Q02,1
grid/pyramid,XTIUSD.DWX,Q05,1
range/fade,WS30.DWX,Q09_PORTFOLIO,1
other,XNGUSD.DWX,Q03,1
basket/statarb,QM5_20192_XAU_XAG_IVOL_D1,Q04,1
grid/pyramid,EURJPY.DWX,Q05,1
basket/statarb,QM5_21517_XAU_XAG_SEASRV_D1,Q02,1
mean-reversion,XNGUSD.DWX,Q05,1
range/fade,XTIUSD.DWX,Q09_PORTFOLIO,1
other,QM5_20016_XTI_XNG_MON_RV_D1,Q05,1
mean-reversion,USDCAD.DWX,Q05,1
breakout,USDJPY.DWX,Q06,1
mean-reversion,EURUSD.DWX,Q07,1
trend/momentum,XNGUSD.DWX,Q06,1
grid/pyramid,GDAXI.DWX,Q04,1
grid/pyramid,XAUUSD.DWX,Q05,1
trend/momentum,XAGUSD.DWX,Q09_PORTFOLIO,1
other,QM5_1257_GBPUSD_USDJPY_COINTEGRATION_H1,Q04,1
grid/pyramid,NZDUSD.DWX,Q04,1
pullback,USDCAD.DWX,Q05,1
pullback,AUDUSD.DWX,Q06,1
grid/pyramid,EURUSD.DWX,Q05,1
session/ORB,EURCHF.DWX,Q02,1
basket/statarb,QM5_41031_XAU_XAG_GOLDLEAD_D1,Q04,1
grid/pyramid,GBPUSD.DWX,Q05,1
grid/pyramid,NDX.DWX,Q08,1
trend/momentum,EURJPY.DWX,Q07,1
other,QM5_32008_EUR_TRIPLET_STATARB_M15,Q02,1
range/fade,EURGBP.DWX,Q04,1
mean-reversion,EURUSD.DWX,Q08,1
session/ORB,UK100.DWX,Q04,1
mean-reversion,AUDUSD.DWX,Q07,1
grid/pyramid,NDX.DWX,Q09_PORTFOLIO,1
basket/statarb,QM5_41040_XAU_XAG_WFLOWFADE_D1,Q04,1
basket/statarb,QM5_41030_XAU_XAG_FLOWDIV_D1,Q04,1
basket/statarb,QM5_20234_XAU_XAG_RSJ_D1,Q04,1
oscillator/other,XAGUSD.DWX,Q05,1
pattern,EURUSD.DWX,Q07,1
basket/statarb,QM5_20233_XAU_XAG_SKEW_RANK_D1,Q05,1
trend/momentum,USDCAD.DWX,Q08,1
trend/momentum,USDCAD.DWX,Q09_PORTFOLIO,1
trend/momentum,GDAXI.DWX,Q09_PORTFOLIO,1
breakout,CADJPY.DWX,Q07,1
mean-reversion,NZDUSD.DWX,Q03,1
mean-reversion,GBPJPY.DWX,Q05,1
trend/momentum,GBPUSD.DWX,Q07,1
mean-reversion,GBPUSD.DWX,Q09_PORTFOLIO,1
other,QM5_11145_EURUSD_GBPUSD_PAIR_Z_D1,Q02,1
breakout,XTIUSD.DWX,Q07,1
range/fade,SP500.DWX,Q07,1
basket/statarb,QM5_41088_XAU_XAG_WCLVDIV_RV_D1,Q02,1
oscillator/other,AUDCAD.DWX,Q07,1
basket/statarb,QM5_20202_XAU_XAG_REV18_D1,Q04,1
other,QM5_20211_GBPJPY_EURAUD_COINTEGRATION_D1,Q05,1
other,QM5_20208_NZDUSD_EURAUD_COINTEGRATION_D1,Q06,1
other,NDX.DWX,Q09,1
other,XAUUSD.DWX,Q09,1
other,GDAXI.DWX,Q09,1
trend/momentum,USDJPY.DWX,Q09,1
grid/pyramid,USDJPY.DWX,Q09,1
mean-reversion,AUDCAD.DWX,Q09,1
breakout,GDAXI.DWX,Q09,1
oscillator/other,AUDCAD.DWX,Q09,1
range/fade,USDJPY.DWX,Q09,1
mean-reversion,EURJPY.DWX,Q09,1
breakout,XAGUSD.DWX,Q03,1
other,QM5_20199_EURJPY_EURAUD_COINTEGRATION_D1,Q03,1
other,QM5_20250_USDCHF_AUDJPY_COINTEGRATION_D1,Q03,1
other,QM5_10050_CORR_TRIAD_H1,Q01,1
basket/statarb,QM5_20206_XAU_XAG_MOMIVOL_D1,Q04,1
basket/statarb,QM5_41057_XAU_XAG_WFLOWAGREEFADE_D1,Q04,1
basket/statarb,QM5_41060_XAU_XAG_WEEKNR7_D1,Q04,1
basket/statarb,QM5_41062_XAU_XAG_WGAPFADE_D1,Q04,1
basket/statarb,QM5_41066_XAU_XAG_WDECAY_RV_D1,Q04,1
basket/statarb,QM5_41083_XAU_XAG_WLEGDIV_RV_D1,Q04,1
basket/statarb,QM5_41079_XAU_XAG_WCLOSE_EXTREME_RV_D1,Q04,1
basket/statarb,QM5_41085_XAU_XAG_WDAYBREADTH_RV_D1,Q04,1
basket/statarb,QM5_41086_XAU_XAG_COMMONSHOCK_RV_D1,Q04,1
basket/statarb,QM5_41075_XAU_XAG_WOVERSHOOT_RV_D1,Q05,1
mean-reversion,QM5_41056_ENERGY_REV18_D1,Q06,1
basket/statarb,QM5_41154_EURJPY_CARRY_UNWIND_CRISIS_MOMENTUM_D1,Q02,1
oscillator/other,NDX.DWX,Q08,1
