family,symbol,gate,distinct_fail_pairs
session/ORB,USDJPY.DWX,Q04,21
oscillator/other,SP500.DWX,Q02,20
pullback,EURUSD.DWX,Q04,20
session/ORB,NDX.DWX,Q04,20
other,XAGUSD.DWX,Q04,20
other,XAGUSD.DWX,Q02,19
breakout,SP500.DWX,Q02,19
pattern,USDJPY.DWX,Q04,19
mean-reversion,XAUUSD.DWX,Q02,18
trend/momentum,XNGUSD.DWX,Q02,18
breakout,SP500.DWX,Q04,18
trend/momentum,CADJPY.DWX,Q04,18
range/fade,USDJPY.DWX,Q04,18
other,NDX.DWX,Q05,18
trend/momentum,GDAXI.DWX,Q05,18
other,AUDJPY.DWX,Q04,18
breakout,XTIUSD.DWX,Q04,18
oscillator/other,USDCAD.DWX,Q04,18
breakout,AUDUSD.DWX,Q04,17
oscillator/other,SP500.DWX,Q04,17
range/fade,EURUSD.DWX,Q02,17
other,AUDCHF.DWX,Q04,17
other,AUDNZD.DWX,Q04,17
trend/momentum,EURAUD.DWX,Q04,17
trend/momentum,XAGUSD.DWX,Q04,17
pattern,GBPUSD.DWX,Q04,17
other,CADJPY.DWX,Q02,16
other,CHFJPY.DWX,Q02,16
pullback,EURUSD.DWX,Q02,16
pattern,EURUSD.DWX,Q02,16
trend/momentum,AUDCAD.DWX,Q04,16
session/ORB,GDAXI.DWX,Q04,16
mean-reversion,SP500.DWX,Q04,16
other,AUDCAD.DWX,Q04,16
other,CADCHF.DWX,Q04,16
trend/momentum,EURCAD.DWX,Q04,16
oscillator/other,USDCHF.DWX,Q04,16
trend/momentum,EURNZD.DWX,Q04,16
oscillator/other,XTIUSD.DWX,Q04,16
range/fade,XTIUSD.DWX,Q04,16
breakout,AUDUSD.DWX,Q02,15
other,EURGBP.DWX,Q02,15
other,CADCHF.DWX,Q02,15
pattern,GBPUSD.DWX,Q02,15
trend/momentum,AUDCHF.DWX,Q04,15
other,GBPAUD.DWX,Q02,15
other,EURCHF.DWX,Q02,15
other,EURCAD.DWX,Q02,15
oscillator/other,AUDUSD.DWX,Q02,15
other,GBPCHF.DWX,Q04,15
other,NZDCAD.DWX,Q04,15
other,NZDCHF.DWX,Q04,15
trend/momentum,CADCHF.DWX,Q04,15
trend/momentum,EURCHF.DWX,Q04,15
trend/momentum,EURGBP.DWX,Q04,15
other,EURAUD.DWX,Q04,15
other,GBPAUD.DWX,Q04,15
other,NZDJPY.DWX,Q04,15
trend/momentum,GBPCAD.DWX,Q04,15
pattern,EURUSD.DWX,Q04,15
trend/momentum,GBPCHF.DWX,Q04,15
trend/momentum,NZDCAD.DWX,Q04,15
mean-reversion,USDCHF.DWX,Q04,15
mean-reversion,USDCAD.DWX,Q04,15
mean-reversion,WS30.DWX,Q04,15
other,AUDCAD.DWX,Q02,14
other,AUDJPY.DWX,Q02,14
other,AUDNZD.DWX,Q02,14
trend/momentum,AUDJPY.DWX,Q02,14
trend/momentum,AUDNZD.DWX,Q02,14
trend/momentum,CHFJPY.DWX,Q02,14
other,GBPCAD.DWX,Q02,14
other,NZDCAD.DWX,Q02,14
trend/momentum,EURCHF.DWX,Q02,14
trend/momentum,GBPNZD.DWX,Q02,14
other,CADJPY.DWX,Q04,14
other,EURAUD.DWX,Q02,14
other,EURUSD.DWX,Q05,14
trend/momentum,CHFJPY.DWX,Q04,14
other,EURGBP.DWX,Q04,14
other,GBPNZD.DWX,Q04,14
trend/momentum,AUDNZD.DWX,Q04,14
other,CHFJPY.DWX,Q04,14
trend/momentum,GBPAUD.DWX,Q04,14
trend/momentum,NZDCHF.DWX,Q04,14
trend/momentum,NZDJPY.DWX,Q04,14
session/ORB,GBPJPY.DWX,Q04,14
