family,symbol_class,timeframe,session,holding_class,n_pairs
basket/statarb,fx_cross,H4,unspecified,swing,19
oscillator/other,metal,H4,unspecified,swing,19
mean-reversion,fx_major,M5,unspecified,scalp,19
mean-reversion,fx_cross,M15,unspecified,intraday,19
session/ORB,metal,M5,session-open,scalp,18
session/ORB,index,M1,session-open,scalp,18
grid/pyramid,other,D1,unspecified,position,18
pullback,index,H1,unspecified,intraday,17
range/fade,fx_jpy,H1,unspecified,intraday,17
oscillator/other,fx_jpy,H4,unspecified,swing,17
other,metal,M30,unspecified,intraday,17
mean-reversion,fx_jpy,M15,unspecified,intraday,17
basket/statarb,fx_major,H1,overnight/seasonal,intraday,17
mean-reversion,fx_cross,H1,unspecified,intraday,17
breakout,fx_cross,H4,unspecified,swing,16
other,fx_cross,M30,unspecified,intraday,16
basket/statarb,fx_major,H1,unspecified,intraday,15
other,energy,H1,unspecified,intraday,15
oscillator/other,index,M5,unspecified,scalp,15
oscillator/other,index,M15,unspecified,intraday,15
basket/statarb,fx_cross,D1,overnight/seasonal,position,15
pullback,fx_cross,H1,unspecified,intraday,15
trend/momentum,fx_cross,M30,unspecified,intraday,15
trend/momentum,fx_cross,M15,unspecified,intraday,15
trend/momentum,fx_cross,M1,unspecified,scalp,15
grid/pyramid,fx_cross,D1,unspecified,position,15
other,fx_cross,M15,session-open,intraday,15
trend/momentum,index,?,unspecified,?,15
pullback,fx_major,D1,unspecified,position,15
oscillator/other,energy,D1,overnight/seasonal,position,15
session/ORB,fx_major,M15,session-open,intraday,14
other,metal,M1,unspecified,scalp,14
grid/pyramid,fx_major,H4,unspecified,swing,14
basket/statarb,fx_major,H4,unspecified,swing,13
basket/statarb,index,H1,unspecified,intraday,13
range/fade,index,D1,unspecified,position,13
mean-reversion,metal,M15,unspecified,intraday,13
oscillator/other,metal,M15,unspecified,intraday,13
session/ORB,fx_major,M15,asian,intraday,13
trend/momentum,fx_jpy,M1,unspecified,scalp,13
breakout,fx_cross,W1,unspecified,position,12
pattern,metal,H1,unspecified,intraday,12
breakout,metal,H4,unspecified,swing,12
trend/momentum,metal,M30,unspecified,intraday,12
session/ORB,metal,M15,session-open,intraday,12
other,index,M15,session-open,intraday,12
mean-reversion,energy,H4,unspecified,swing,12
oscillator/other,energy,D1,unspecified,position,12
session/ORB,index,H1,session-open,intraday,12
grid/pyramid,fx_major,D1,unspecified,position,12
grid/pyramid,index,H4,unspecified,swing,12
oscillator/other,fx_jpy,M15,unspecified,intraday,11
basket/statarb,fx_jpy,H4,unspecified,swing,11
breakout,metal,M5,unspecified,scalp,11
range/fade,fx_major,D1,unspecified,position,11
oscillator/other,fx_jpy,M5,unspecified,scalp,11
pullback,fx_jpy,H4,unspecified,swing,11
basket/statarb,other,D1,overnight/seasonal,position,11
basket/statarb,fx_jpy,D1,unspecified,position,10
basket/statarb,metal,D1,unspecified,position,10
pullback,metal,H1,unspecified,intraday,10
range/fade,index,M15,unspecified,intraday,10
trend/momentum,energy,H1,unspecified,intraday,10
oscillator/other,metal,M5,unspecified,scalp,10
breakout,index,M1,unspecified,scalp,10
oscillator/other,fx_major,M30,unspecified,intraday,10
other,metal,?,unspecified,?,10
other,fx_jpy,?,unspecified,?,10
basket/statarb,index,M15,unspecified,intraday,10
pullback,fx_major,M15,unspecified,intraday,10
breakout,other,D1,unspecified,position,10
pullback,index,H4,unspecified,swing,10
pattern,fx_jpy,D1,unspecified,position,10
session/ORB,fx_major,M5,london,scalp,10
pattern,index,H4,unspecified,swing,10
grid/pyramid,fx_major,H1,unspecified,intraday,10
breakout,metal,M15,unspecified,intraday,9
mean-reversion,index,M5,unspecified,scalp,9
other,energy,M15,unspecified,intraday,9
range/fade,metal,H4,unspecified,swing,9
session/ORB,fx_major,H1,session-open,intraday,9
other,other,H1,unspecified,intraday,9
breakout,energy,H4,unspecified,swing,9
grid/pyramid,fx_jpy,D1,unspecified,position,9
other,index,M30,session-open,intraday,8
range/fade,index,H1,unspecified,intraday,8
oscillator/other,index,D1,overnight/seasonal,position,8
breakout,fx_jpy,M15,unspecified,intraday,8
session/ORB,fx_jpy,M15,asian,intraday,8
other,energy,M5,unspecified,scalp,8
oscillator/other,energy,H1,unspecified,intraday,8
other,other,M15,unspecified,intraday,8
session/ORB,fx_major,H1,london,intraday,8
mean-reversion,other,D1,unspecified,position,8
other,index,?,unspecified,?,8
basket/statarb,fx_cross,D1,unspecified,position,7
trend/momentum,metal,M1,unspecified,scalp,7
trend/momentum,index,M30,session-open,intraday,7
