"run_key","ea_id","version","symbol","phase","sub_gate_config","enqueue_ts_utc","claim_ts_utc","terminal","scanner_pid","status","final_status","ack_ts_utc","report_dir","htm_count","report_bytes"
"c5c8dfe8ecb5021979f2c2652b36346c67cee8b406966a7e087b97c668728e76","QM5_SRC05_S01","v1","GOLD.DWX","P3.5","src05_s01:gld_uso_proxy:lb20:entry1_exit0","2026-04-28T10:33:57Z","2026-04-28T10:33:57Z","T2","24040","ack","succeeded","2026-04-28T10:33:57Z","C:\QM\worktrees\pipeline-operator\artifacts\qua-376\factory_runs\QM5_SRC05_S01\v1\P3.5\GOLD.DWX\c5c8dfe8ecb5021979f2c2652b36346c67cee8b406966a7e087b97c668728e76","1","34"
"d113d28aa0a0b66ffa432b872e4ca70f10d7837bc81728b7f60cd2e169fd08c9","QM5_SRC05_S01","v1","GOLD.DWX","P3.5","src05_s01:gld_uso_proxy:lb30:entry1_exit0","2026-04-28T10:34:20Z","2026-04-28T10:34:20Z","T3","85276","ack","succeeded","2026-04-28T10:34:20Z","C:\QM\worktrees\pipeline-operator\artifacts\qua-376\factory_runs\QM5_SRC05_S01\v1\P3.5\GOLD.DWX\d113d28aa0a0b66ffa432b872e4ca70f10d7837bc81728b7f60cd2e169fd08c9","1","34"
"c7ed5bb3809f37f440d8c49074cf821b2c21ba4981a7de05319054f79f6f9671","QM5_SRC05_S01","v1","XAUUSD.DWX","P3.5","src05_s01:pair_proxy=xauusd.dwx-xtiusd.dwx:lookback20:entry1:exit0","2026-04-28T10:42:07Z","2026-04-28T10:42:07Z","T2","86064","ack","succeeded","2026-04-28T10:42:07Z","C:\QM\worktrees\pipeline-operator\artifacts\qua-376\factory_runs\QM5_SRC05_S01\v1\P3.5\XAUUSD.DWX\c7ed5bb3809f37f440d8c49074cf821b2c21ba4981a7de05319054f79f6f9671","1","34"
