"init_run_id","chart_id","suite","status","detail"
"41774365623703_1788826378_2092597281","41774365623703","compare_start_failure_rollback","PASS","prefix=QM_QA_FAIL_88826378_2092597281; derived_v2_length=42; initialized=1; before=1; deleted_label=1; rollback=1; cleanup=1; objects=21/21/0; bid=1.16242/1.16242; quote=2026.09.08 01:12:35 BT/2026.09.08 01:12:35 BT; restore_failure_injected=0"
"41774365623703_1788826378_2092597281","41774365623703","compare_render_failure_recovery","PASS","prefix=QM_RF_8_2092597281; collision=QM_CHART_V2_QM_RF_8_2092597281identity; initialized=1; injected=1; rejected=1; fault_removed=1; recovered=1; cleanup=1; remaining=0; bid=1.16242/1.16242; quote=2026.09.08 01:12:35 BT/2026.09.08 01:12:35 BT; restore_failure_injected=0"
