"serial","chart_id","property","value"
"503","41774365623703","CHART_COLOR_BACKGROUND","16777215"
"503","41774365623703","CHART_COLOR_FOREGROUND","8745319"
"503","41774365623703","CHART_COLOR_GRID","15262428"
"503","41774365623703","CHART_COLOR_CHART_UP","8036110"
"503","41774365623703","CHART_COLOR_CHART_DOWN","6182128"
"503","41774365623703","CHART_COLOR_CANDLE_BULL","16777215"
"503","41774365623703","CHART_COLOR_CANDLE_BEAR","6182128"
"503","41774365623703","CHART_COLOR_CHART_LINE","16149563"
"503","41774365623703","CHART_COLOR_VOLUME","15262428"
"503","41774365623703","CHART_COLOR_BID","16149563"
"503","41774365623703","CHART_COLOR_ASK","10982795"
"503","41774365623703","CHART_COLOR_LAST","16149563"
"503","41774365623703","CHART_MODE","1"
"503","41774365623703","CHART_FOREGROUND","0"
"503","41774365623703","CHART_SHOW_GRID","0"
"503","41774365623703","CHART_SHOW_VOLUMES","0"
"503","41774365623703","CHART_SHOW_BID_LINE","0"
"503","41774365623703","CHART_SHOW_ASK_LINE","0"
"503","41774365623703","CHART_SHOW_LAST_LINE","0"
"503","41774365623703","CHART_SHIFT","1"
"503","41774365623703","CHART_SCALE","3"
"503","41774365623703","CHART_AUTOSCROLL","1"
"503","41774365623703","CHART_SHOW_TRADE_LEVELS","1"
"503","41774365623703","CHART_DRAG_TRADE_LEVELS","1"
"503","41774365623703","CHART_SHOW_TRADE_HISTORY","1"
"503","41774365623703","CHART_SHIFT_SIZE","19.8653198653198615"
