terminal,symbol,month,present,disk_size,manifest_size,disk_sha256,manifest_sha256,classification,note
T1,EURCHF.DWX,202511,True,5039775,5039775,ad4b44d33f26907811da124cea74554fb1bc582b2c2912e80d7c97059344a563,ad4b44d33f26907811da124cea74554fb1bc582b2c2912e80d7c97059344a563,INTACT,size+sha256 match signed manifest
T1,EURGBP.DWX,202510,True,1397825,1397825,eabbaf4203a9d991a16891448dbc934bcf65a3513b32cf94f6eb4975472efb67,eabbaf4203a9d991a16891448dbc934bcf65a3513b32cf94f6eb4975472efb67,INTACT,size+sha256 match signed manifest
T1,EURGBP.DWX,202511,True,5283821,5283821,0ae999bf718d0129753b6f976a84a0dfb7ec885742bb1106d61d1e1e67008f2f,0ae999bf718d0129753b6f976a84a0dfb7ec885742bb1106d61d1e1e67008f2f,INTACT,size+sha256 match signed manifest
T1,EURJPY.DWX,202510,True,3930900,3930900,029f5ecaf6f068c568f8b51c3f66e41b50c48d252d5474ae60ab8b6c97e9faf4,029f5ecaf6f068c568f8b51c3f66e41b50c48d252d5474ae60ab8b6c97e9faf4,INTACT,size+sha256 match signed manifest
T1,EURJPY.DWX,202511,True,10643280,10643280,c9f239760b1a855085b46419f054165dd6662cb65e4d0f5dd21413070aa28692,c9f239760b1a855085b46419f054165dd6662cb65e4d0f5dd21413070aa28692,INTACT,size+sha256 match signed manifest
T1,EURNZD.DWX,202510,True,4297098,4297098,6da6ce4353d72d46305ebe805bca4b8dd1bdbfc1de3fb5c4eafe0fc019b7057a,6da6ce4353d72d46305ebe805bca4b8dd1bdbfc1de3fb5c4eafe0fc019b7057a,INTACT,size+sha256 match signed manifest
T1,EURNZD.DWX,202511,True,12001639,12001639,7802a62d9c62c7c4194a3659a7905fc41eb1a2e106ca17395340bf0240a3ee92,7802a62d9c62c7c4194a3659a7905fc41eb1a2e106ca17395340bf0240a3ee92,INTACT,size+sha256 match signed manifest
T1,EURUSD.DWX,202510,True,1656896,1656896,cdab4af2fbe6f2adbc6d885c84ef3a1e81ebcde449a0b0d8312169c78da1b63e,cdab4af2fbe6f2adbc6d885c84ef3a1e81ebcde449a0b0d8312169c78da1b63e,INTACT,size+sha256 match signed manifest
T1,EURUSD.DWX,202511,True,4618485,4618485,479a6605b550f7d0679b9b9f17b1c8b1773e784df1d63713ef5901cce3e7caf6,479a6605b550f7d0679b9b9f17b1c8b1773e784df1d63713ef5901cce3e7caf6,INTACT,size+sha256 match signed manifest
T1,GBPAUD.DWX,202510,True,5066208,5066208,23fdd0f9180757658e78d5e9a364245ca92361e3d5455be7e5d8a2974cdf62cb,23fdd0f9180757658e78d5e9a364245ca92361e3d5455be7e5d8a2974cdf62cb,INTACT,size+sha256 match signed manifest
T1,GBPAUD.DWX,202511,True,15292775,15292775,47e02e8ea87a21b80d14ab71ec17e4c38f19ce4383e61c36ea54a361f11adce5,47e02e8ea87a21b80d14ab71ec17e4c38f19ce4383e61c36ea54a361f11adce5,INTACT,size+sha256 match signed manifest
T1,GBPCAD.DWX,202510,True,3953321,3953321,f32f98ea3fceb446f79134316c7ea3102dd30a7c4ab6ca6f921b0c0d8cfd3553,f32f98ea3fceb446f79134316c7ea3102dd30a7c4ab6ca6f921b0c0d8cfd3553,INTACT,size+sha256 match signed manifest
T1,GBPCAD.DWX,202511,True,11136180,11136180,d7e416a11293aaec9c2366671ac82623ae820bc4c4a94db4bffe2512846f660a,d7e416a11293aaec9c2366671ac82623ae820bc4c4a94db4bffe2512846f660a,INTACT,size+sha256 match signed manifest
T1,GBPCHF.DWX,202510,True,3361308,3361308,5ff0b16dc908f1d4ddee1d6a3ddda1a1003516e82216fe2a64faad832c690d95,5ff0b16dc908f1d4ddee1d6a3ddda1a1003516e82216fe2a64faad832c690d95,INTACT,size+sha256 match signed manifest
T1,GBPCHF.DWX,202511,True,8186975,8186975,fefec64f969845b42fddb5fed6b0cf4a9a5128971e20bc7b5683db571b1da7af,fefec64f969845b42fddb5fed6b0cf4a9a5128971e20bc7b5683db571b1da7af,INTACT,size+sha256 match signed manifest
T1,GBPJPY.DWX,202510,True,5405743,5405743,1c5ae8cb7d43b8dc961ddf65ac16cfbee47e4735a81fa77fb396aa6a9dc40f89,1c5ae8cb7d43b8dc961ddf65ac16cfbee47e4735a81fa77fb396aa6a9dc40f89,INTACT,size+sha256 match signed manifest
T1,GBPJPY.DWX,202511,True,14137182,14137182,4aa11ce974a551f4537ca84e401ada82491704fcdee46fd0dd4ee1f7c856cd3e,4aa11ce974a551f4537ca84e401ada82491704fcdee46fd0dd4ee1f7c856cd3e,INTACT,size+sha256 match signed manifest
T1,GBPNZD.DWX,202510,True,4189352,4189352,f86ef5167d8d173e87d5f37be3f123872a1d67164e58ca7402067247469efcbc,f86ef5167d8d173e87d5f37be3f123872a1d67164e58ca7402067247469efcbc,INTACT,size+sha256 match signed manifest
T1,GBPNZD.DWX,202511,True,13288427,13288427,a8a7f037902cfadd4982cd7d38b4f4f278bd193e1b442e18b33d6592b62a7cd2,a8a7f037902cfadd4982cd7d38b4f4f278bd193e1b442e18b33d6592b62a7cd2,INTACT,size+sha256 match signed manifest
T1,GBPUSD.DWX,202510,True,2091648,2091648,13cbea4171d124dd51b9bf39cc31e78149a4de5f53541360c1f72ebf5422e346,13cbea4171d124dd51b9bf39cc31e78149a4de5f53541360c1f72ebf5422e346,INTACT,size+sha256 match signed manifest
T1,GBPUSD.DWX,202511,True,7549326,7549326,1b57a3c5616ad3aede3c30328f47733e546cf6684595a67807ac782815d8d187,1b57a3c5616ad3aede3c30328f47733e546cf6684595a67807ac782815d8d187,INTACT,size+sha256 match signed manifest
T1,GDAXI.DWX,202510,True,2326780,2326780,6a8a0707e8c3099a1a2c156f54bbd6b1679eaa25d516337393ab6b29ba995e62,6a8a0707e8c3099a1a2c156f54bbd6b1679eaa25d516337393ab6b29ba995e62,INTACT,size+sha256 match signed manifest
