symbol,export_status,count_evidence,chunk_start_utc,chunk_end_utc,chunk_start_epoch,chunk_end_epoch,ticks_copied,status,intersects_gap,source_journal
AUDNZD.DWX,COMPLETE,USABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,110157,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDNZD.DWX_M1_chunks.csv
AUDNZD.DWX,COMPLETE,USABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDNZD.DWX_M1_chunks.csv
AUDNZD.DWX,COMPLETE,USABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDNZD.DWX_M1_chunks.csv
AUDNZD.DWX,COMPLETE,USABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,207029,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDNZD.DWX_M1_chunks.csv
AUDNZD.DWX,COMPLETE,USABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,531210,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDNZD.DWX_M1_chunks.csv
AUDUSD.DWX,COMPLETE,USABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,346448,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDUSD.DWX_M1_chunks.csv
AUDUSD.DWX,COMPLETE,USABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDUSD.DWX_M1_chunks.csv
AUDUSD.DWX,COMPLETE,USABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDUSD.DWX_M1_chunks.csv
AUDUSD.DWX,COMPLETE,USABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDUSD.DWX_M1_chunks.csv
AUDUSD.DWX,COMPLETE,USABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,148350,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDUSD.DWX_M1_chunks.csv
AUDUSD.DWX,COMPLETE,USABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,380880,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\AUDUSD.DWX_M1_chunks.csv
CADCHF.DWX,COMPLETE,USABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,440960,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADCHF.DWX_M1_chunks.csv
CADCHF.DWX,COMPLETE,USABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,82759,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADCHF.DWX_M1_chunks.csv
CADCHF.DWX,COMPLETE,USABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADCHF.DWX_M1_chunks.csv
CADCHF.DWX,COMPLETE,USABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADCHF.DWX_M1_chunks.csv
CADCHF.DWX,COMPLETE,USABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,169396,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADCHF.DWX_M1_chunks.csv
CADCHF.DWX,COMPLETE,USABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,438906,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADCHF.DWX_M1_chunks.csv
CADJPY.DWX,COMPLETE,USABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,714442,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADJPY.DWX_M1_chunks.csv
CADJPY.DWX,COMPLETE,USABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,320952,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADJPY.DWX_M1_chunks.csv
CADJPY.DWX,COMPLETE,USABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADJPY.DWX_M1_chunks.csv
CADJPY.DWX,COMPLETE,USABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADJPY.DWX_M1_chunks.csv
CADJPY.DWX,COMPLETE,USABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,283833,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADJPY.DWX_M1_chunks.csv
CADJPY.DWX,COMPLETE,USABLE,2025-11-05T03:00:00Z,2025-11-12T03:00:00Z,1762311600,1762916400,848865,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CADJPY.DWX_M1_chunks.csv
CHFJPY.DWX,COMPLETE,USABLE,2025-10-01T03:00:00Z,2025-10-08T03:00:00Z,1759287600,1759892400,1185475,OK,False,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CHFJPY.DWX_M1_chunks.csv
CHFJPY.DWX,COMPLETE,USABLE,2025-10-08T03:00:00Z,2025-10-15T03:00:00Z,1759892400,1760497200,234858,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CHFJPY.DWX_M1_chunks.csv
CHFJPY.DWX,COMPLETE,USABLE,2025-10-15T03:00:00Z,2025-10-22T03:00:00Z,1760497200,1761102000,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CHFJPY.DWX_M1_chunks.csv
CHFJPY.DWX,COMPLETE,USABLE,2025-10-22T03:00:00Z,2025-10-29T03:00:00Z,1761102000,1761706800,0,ZERO_TICK_CHUNK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CHFJPY.DWX_M1_chunks.csv
CHFJPY.DWX,COMPLETE,USABLE,2025-10-29T03:00:00Z,2025-11-05T03:00:00Z,1761706800,1762311600,466889,OK,True,D:\QM\reports\dukascopy\reconciliation_inputs\dwx_m1\20260915_063500\raw\CHFJPY.DWX_M1_chunks.csv
