
Task                                             State Script                                                                                                                                                  Exists
QM_StrategyFarm_IntradayEdgeWatch                Ready C:\QM\repo\tools\strategy_farm\monitor_intraday_edges.py                                                                                                  True
QM_StrategyFarm_LiveBookPulse                    Ready C:\QM\repo\tools\strategy_farm\live_book_pulse.py                                                                                                         True
QM_StrategyFarm_LiveBurnin                       Ready C:\QM\repo\tools\strategy_farm\run_live_burnin.ps1                                                                                                        True
QM_StrategyFarm_LsmHealthProbe                   Ready C:\QM\repo\tools\strategy_farm\lsm_health_probe.ps1                                                                                                       True
QM_StrategyFarm_MailboxSourceIntake_Daily        Ready C:\QM\repo\tools\strategy_farm\mailbox_source_intake.py                                                                                                   True
QM_StrategyFarm_PlausibilityScan                 Ready C:\QM\repo\tools\strategy_farm\plausibility_scan.py                                                                                                       True
QM_StrategyFarm_PortfolioReport                  Ready C:\QM\repo\tools\strategy_farm\portfolio\portfolio_periodic_report.py                                                                                     True
QM_StrategyFarm_Pump_5min                      Running C:\QM\repo\tools\strategy_farm\run_pump_task.py                                                                                                           True
QM_StrategyFarm_QuotaGovernor                    Ready C:\QM\repo\tools\strategy_farm\quota_governor.py                                                                                                          True
QM_StrategyFarm_QuotaPull                        Ready C:\QM\repo\tools\strategy_farm\quota_pull.py                                                                                                              True
QM_StrategyFarm_RebootDiagnostic_AtStartup       Ready C:\QM\repo\tools\strategy_farm\run_reboot_diagnostic_mail_task.py                                                                                         True
QM_StrategyFarm_ReconcileOrphans_Hourly          Ready C:\QM\repo\tools\strategy_farm\reconcile_orphans.ps1                                                                                                      True
QM_StrategyFarm_Repair_Hourly                 Disabled C:\QM\repo\tools\strategy_farm\farmctl.py                                                                                                                 True
QM_StrategyFarm_ReportsLogPurge_12h              Ready C:\QM\repo\tools\strategy_farm\reports_log_purge.ps1                                                                                                      True
QM_StrategyFarm_REvalDrain_15min                 Ready C:\QM\repo\tools\strategy_farm\r_eval_drain.py                                                                                                            True
QM_StrategyFarm_SilentFailureMonitor             Ready C:\QM\repo\tools\strategy_farm\silent_failure_monitor.py                                                                                                  True
QM_StrategyFarm_SourcingIntakeSweep           Disabled C:\QM\repo\tools\strategy_farm\sourcing_intake_sweep.py                                                                                                   True
QM_StrategyFarm_SweepEnqueue_Hourly              Ready C:\QM\repo\tools\strategy_farm\sweep_enqueue_built_eas.py                                                                                                 True
QM_StrategyFarm_TerminalWorkers_AT_STARTUP    Disabled C:\QM\repo\tools\strategy_farm\start_terminal_workers.py                                                                                                  True
QM_StrategyFarm_TesterCachePurge                 Ready C:\QM\repo\tools\strategy_farm\tester_cache_purge.ps1                                                                                                     True
QM_StrategyFarm_Tick_5min                        Ready C:\QM\repo\tools\strategy_farm\farmctl.py                                                                                                                 True
QM_StrategyFarm_UnreadableLinks_Friday           Ready C:\QM\repo\tools\strategy_farm\run_weekly_unreadable_links_task.py                                                                                        True
QM_StrategyFarm_WorkerDedupe                     Ready C:\QM\repo\tools\strategy_farm\start_terminal_workers.py                                                                                                  True
QM_StrategyFarm_WorktreeClean_4h                 Ready C:\QM\repo\tools\strategy_farm\run_worktree_clean_task.py                                                                                                 True
QM_T_Live_AtLogon                                Ready C:\QM\repo\tools\strategy_farm\T_Live_ON.ps1                                                                                                              True
QM_T_Live_Watchdog                               Ready C:\QM\repo\tools\strategy_farm\T_Live_Watchdog.ps1                                                                                                        True
QM_TSCon_Console_OnDisconnect                 Disabled C:\QM\repo\tools\strategy_farm\tscon_console_keepalive.ps1                                                                                                True
QM_WorkItemLogPruner_Daily_0310                  Ready C:\QM\repo\tools\strategy_farm\prune_workitem_logs.py                                                                                                     True


