source,source_content_sha256,source_row_number,row_identity_sha256,currency,impact,event_name,authority,expected_release_et,expected_local_iso,stored_utc,expected_utc,delta_minutes,native_confirmation,native_utc
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,43644,da12cb3fa05e43037e30164f03305ac0e4b56256eaa472bfa8533e904ee2010e,USD,HIGH,Unemployment Claims,DOL,08:30,2024-05-16T08:30:00-04:00,2024-05-16T11:30:00Z,2024-05-16T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-05-16T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,43766,f7882d419a2ddabab44a3ce4a5968f083003dd4c4772636dc84d43b5bf959b47,USD,HIGH,Revised UoM Consumer Sentiment,UMICH,10:00,2024-05-24T10:00:00-04:00,2024-05-24T13:00:00Z,2024-05-24T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,43824,0b5537bc8acae3945b6799d5844e363ce8928fc88aee6dc50255379ff2d71d81,USD,HIGH,Pending Home Sales m/m,NAR,10:00,2024-05-30T10:00:00-04:00,2024-05-30T13:00:00Z,2024-05-30T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,43887,6e98c4f261d16aed755214c8d460553647c9c1c0c84fdf608fc3531ac1e12f81,USD,HIGH,JOLTS Job Openings,BLS,10:00,2024-06-04T10:00:00-04:00,2024-06-04T13:00:00Z,2024-06-04T14:00:00Z,-60,EXACT_MINUS_60_MIN,2024-06-04T14:00:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,43999,227249e8b1e372ce5481061bb9beed1ef564f03d1844f69198e33e6e4075fd6a,USD,HIGH,Core CPI m/m,BLS,08:30,2024-06-12T08:30:00-04:00,2024-06-12T11:30:00Z,2024-06-12T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-06-12T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44017,7cc750ef83eada38bdec75f60799a73a0388f06981308e582d8ee7ac4b8dc86d,USD,HIGH,Core PPI m/m,BLS,08:30,2024-06-13T08:30:00-04:00,2024-06-13T11:30:00Z,2024-06-13T12:30:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44041,1052140efbca5c207d8c668350ad926252796f33d6d6bcb095a211a74141c467,USD,HIGH,Prelim UoM Consumer Sentiment,UMICH,10:00,2024-06-14T10:00:00-04:00,2024-06-14T13:00:00Z,2024-06-14T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44072,b5b6cfb279a9d142b39c52d4d5476d2fa5ff0fe04f9de490905beb95a4e6baf4,USD,HIGH,Core Retail Sales m/m,CENSUS,08:30,2024-06-18T08:30:00-04:00,2024-06-18T11:30:00Z,2024-06-18T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-06-18T12:30:00Z
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44180,4f83ff4457e39b047e2b7d024a8636754530e05a1aea4ead2ea95d4eb86138e1,USD,HIGH,New Home Sales,CENSUS,10:00,2024-06-26T10:00:00-04:00,2024-06-26T13:00:00Z,2024-06-26T14:00:00Z,-60,NO_MAPPED_NATIVE_JOIN,
sealed_q09,86b2c0b595fd6011a2fe64b7da07f933e755294136a16f584d75389b66c56ce1,44201,d05810d2ab495f3267872d28f19100c61d662e1775df11f1eae76da7a05eb8be,USD,HIGH,Final GDP q/q,BEA,08:30,2024-06-27T08:30:00-04:00,2024-06-27T11:30:00Z,2024-06-27T12:30:00Z,-60,EXACT_MINUS_60_MIN,2024-06-27T12:30:00Z
