event_id,event_time_utc,event_names,symbol,pre_high,pre_low,pre_range_pts,post_high,post_low,post_range_pts,expansion_ratio,breakout_dir,entry_price,mfe_15m_pts,mae_15m_pts,mfe_30m_pts,mae_30m_pts,mfe_60m_pts,mae_60m_pts,gross_pnl_pts,net_pnl_pts,era
E2_00044,2018-12-27T13:30:00Z,Initial Jobless Claims,NDX.DWX,6192.3,6153.3,39,6190.3,6164.3,26,0.6667,0,,6.5,13.5,6.5,14,10.2,15.8,0,0,IS
E2_00045,2019-01-03T13:30:00Z,Initial Jobless Claims,NDX.DWX,6253.6,6218.6,35,6264.5,6238.9,25.6,0.7314,0,,2.3,5.2,12,5.7,19.9,5.7,0,0,IS
E2_00046,2019-01-04T13:30:00Z,Nonfarm Payrolls,NDX.DWX,6253.6,6227.1,26.5,6252.8,6213.6,39.2,1.4792,-1,6227.1,8.3,25.6,11.6,25.6,13.6,25.6,-17.9,-18.9,IS
E2_00047,2019-01-10T13:30:00Z,Initial Jobless Claims,NDX.DWX,6561.1,6540.4,20.7,6564.2,6548.2,16,0.7729,1,6561.1,7,8.6,7,9,7,9,-10.7,-11.7,IS
E2_00048,2019-01-11T13:30:00Z,CPI m/m,NDX.DWX,6598.7,6579.3,19.4,6593,6576.3,16.7,0.8608,-1,6579.3,6.9,9.8,6.9,9.8,6.9,9.8,-2.1,-3.1,IS
E2_00049,2019-01-17T13:30:00Z,Initial Jobless Claims,NDX.DWX,6641.2,6627,14.2,6654.4,6639.9,14.5,1.0211,1,6641.2,14.2,0.3,14.2,0.3,14.2,0.3,3,2,IS
E2_00050,2019-01-24T13:30:00Z,Initial Jobless Claims,NDX.DWX,6694.3,6684.8,9.5,6695.5,6662.6,32.9,3.4632,0,6689.55,4,25.5,4,28.9,4,28.9,-4.75,-5.75,IS
E2_00051,2019-01-30T19:00:00Z,Fed Interest Rate Decision,NDX.DWX,6750.7,6736.2,14.5,6828.4,6737.4,91,6.2759,1,6750.7,54.4,1.9,65,1.9,89.1,1.9,76.1,75.1,IS
E2_00052,2019-01-31T13:30:00Z,Initial Jobless Claims,NDX.DWX,6872.1,6853.1,19,6857.4,6833.3,24.1,1.2684,-1,6853.1,3.3,3.2,3.3,9.6,3.3,20.8,10,9,IS
E2_00053,2019-02-01T13:30:00Z,Nonfarm Payrolls,NDX.DWX,6880.7,6856.6,24.1,6893.7,6866.1,27.6,1.1452,1,6880.7,26.4,1.2,26.4,1.2,26.4,1.2,-9.4,-10.4,IS
E2_00054,2019-02-07T13:30:00Z,Initial Jobless Claims,NDX.DWX,6953.5,6935.2,18.3,6950.3,6935,15.3,0.8361,0,,3.2,1.9,6.2,1.9,7.5,7.8,0,0,IS
