work_item_id,created_at,ea_id,symbol,q04_work_item_id,q04_verdict,q02_work_item_id,q02_lineage_method,q02_report_path,q02_report_sha256,q02_report_selection,q02_from,q02_to,q02_date_source,q02_business_days,q02_trades,trades_per_business_day,q02_net_profit,risk_fixed,expectancy_r,q02_profit_factor,q05_report_path,q05_report_sha256,q05_report_selection,q05_profit_factor,q05_trades,q05_dd_money,q05_dd_pct_verdict,q05_dd_pct_report,q05_dd_r,q05_dd_source,q05_dd_pct_at_0_5pct_risk,v1_disposition,v2_50r_disposition,verdict_reason,canonical_evidence_path,economic_proxy,metric_status
b78474d5-7978-48bc-84ca-6ac61850fd9b,2026-08-03T17:01:36+00:00,QM5_10806,XAUUSD.DWX,dfd85afe-d871-495a-ad43-f3df6bcaff76,PASS,557f4a39-af1d-4186-9863-d176cb333332,explicit_lineage,D:\QM\mt5\T9\QM5_10806_XAUUSD_DWX_20260801_072511_run_01.htm,48f215981b43b239eb817fa13df5620f1195c3d1be6ab06079995b26a23f7c5c,declared_terminal_exact_tag,2020.01.01,2022.12.31,report_period,783,398,0.508301404853129,13309.84,1000.0,0.03344180904522613,1.14,D:\QM\mt5\T3\QM5_10806_XAUUSD_DWX_20260803_214130_run_01.htm,6b265837e0047903b97f39469301594ab0ffeb80ca7f14d38240e4cf79e05ff2,declared_terminal_exact_tag,1.14,1115,26224.01,26.22,26.224009999999996,26.22401,raw_report,13.112005,PARK,ADVANCE,dd_above_ceiling:dd_pct=26.22:max=25.0,D:\QM\reports\work_items\b78474d5-7978-48bc-84ca-6ac61850fd9b\QM5_10806\Q05\XAUUSD_DWX\aggregate.json,POSITIVE,COMPLETE
50e3556b-a6ce-4efb-9364-dbee4766c946,2026-08-07T15:27:13+00:00,QM5_20106,USDJPY.DWX,50fb0ea9-2345-4639-b67a-ff7f9119f2f5,PASS,5d9f40e1-93ec-4f3b-ba1d-08716b64f11a,explicit_lineage,D:\QM\mt5\T6\QM5_20106_USDJPY_DWX_20260807_150321_run_01.htm,5099e47b14f33ce9a5be58d84dd5f56c6ff77ff3d95e01501e2f6e9ea82689e1,declared_terminal_exact_tag,2018.07.02,2022.12.31,report_period,1175,275,0.23404255319148937,10770.64,1000.0,0.039165963636363633,1.06,D:\QM\mt5\T6\QM5_20106_USDJPY_DWX_20260807_152850_run_01.htm,618d3c6378c89fcd6cffc483a4eee9d6e6152cde3e20ed26b09c8975e6b9756d,declared_terminal_exact_tag,1.13,522,31299.84,31.3,31.29984,31.29984,raw_report,15.64992,PARK,ADVANCE,dd_above_ceiling:dd_pct=31.30:max=25.0,D:\QM\reports\work_items\50e3556b-a6ce-4efb-9364-dbee4766c946\QM5_20106\Q05\USDJPY_DWX\aggregate.json,POSITIVE,COMPLETE
726e1326-1b3f-4d0c-a40b-31eaeb15b90d,2026-08-08T14:56:14+00:00,QM5_11298,GDAXI.DWX,61950fef-c161-4e81-a669-93590a3537c1,PASS,d4740a31-891e-4a70-a64a-3b615c75dc73,explicit_lineage,D:\QM\mt5\T9\QM5_11298_GDAXI_DWX_20260808_141321_run_01.htm,52c76a39dfea1a09462620f519d789101e1571206b59facb679dd67bbb77cbff,declared_terminal_exact_tag,2018.07.02,2022.12.31,report_period,1175,763,0.6493617021276595,-16463.63,1000.0,-0.021577496723460026,0.95,D:\QM\mt5\T10\QM5_11298_GDAXI_DWX_20260808_145628_run_01.htm,b2a77cd9ca21fbc5f8674699eb79575b26a967ccd71958c5b795ecfb24d2a663,declared_terminal_exact_tag,1.02,1303,39267.37,39.27,39.26737,39.26737,raw_report,19.633685,PARK,ADVANCE,dd_above_ceiling:dd_pct=39.27:max=25.0,D:\QM\reports\work_items\726e1326-1b3f-4d0c-a40b-31eaeb15b90d\QM5_11298\Q05\GDAXI_DWX\aggregate.json,NEGATIVE,COMPLETE
738a0035-76ca-4578-b42b-5a82bd91f8bd,2026-08-08T18:58:22+00:00,QM5_11298,USDJPY.DWX,53af23c6-5713-4d52-a5c8-8c0e22a64cb9,PASS_SOFT,4ff9d4c0-150c-4c9d-925b-bd72b231d645,explicit_lineage,D:\QM\mt5\T8\QM5_11298_USDJPY_DWX_20260808_165634_run_01.htm,575f655d600bc54f73ee323e6dd3cf478f85cac9f908e6f2004aadbff0f9aabd,declared_terminal_exact_tag,2018.07.02,2022.12.31,report_period,1175,942,0.8017021276595745,45614.19,1000.0,0.04842270700636943,1.12,D:\QM\mt5\T8\QM5_11298_USDJPY_DWX_20260808_190326_run_01.htm,62a038f60116a7c71d62f4e549a0fb8797919b36cbe5ee2b3dc636a40a2b5fbd,declared_terminal_exact_tag,1.13,1702,45092.71,45.09,45.09271,45.09271,raw_report,22.546355,PARK,ADVANCE,dd_above_ceiling:dd_pct=45.09:max=25.0,D:\QM\reports\work_items\738a0035-76ca-4578-b42b-5a82bd91f8bd\QM5_11298\Q05\USDJPY_DWX\aggregate.json,POSITIVE,COMPLETE
9a2b829e-bd3a-4a69-a963-7b927bfc89df,2026-08-10T10:03:38+00:00,QM5_10790,XAUUSD.DWX,d1b83c12-61e0-4046-ab58-7d0d5fb98807,PASS,7bdef7e4-b97c-497b-a0f2-581bb3152d3a,setfile_match,D:\QM\mt5\T3\QM5_10790_XAUUSD_DWX_20260614_231803_run_01.htm,4d4e3856abdbef61719fcf6db85b4e0630c277166f30c2688b66e8d277c14866,declared_terminal_exact_tag,2017.01.01,2024.12.31,report_period,2087,1332,0.6382367034020124,37393.13,1000.0,0.02807292042042042,1.08,D:\QM\mt5\T3\QM5_10790_XAUUSD_DWX_20260810_100737_run_01.htm,435a029d173d27a98f4ebfee1bc1d504c63e43ca749b3c0996bfa610a85853a1,declared_terminal_exact_tag,1.09,1513,33152.08,33.15,33.15208,33.152080000000005,raw_report,16.576040000000003,PARK,ADVANCE,dd_above_ceiling:dd_pct=33.15:max=25.0,D:\QM\reports\work_items\9a2b829e-bd3a-4a69-a963-7b927bfc89df\QM5_10790\Q05\XAUUSD_DWX\aggregate.json,POSITIVE,COMPLETE
a460a6fe-e7a0-440b-bf5f-140339bba41f,2026-08-10T15:54:37+00:00,QM5_10796,XAUUSD.DWX,57313068-71c8-4152-a921-a1834ede4953,PASS,8944e2f2-9dbd-40e2-b44b-151eb4a225d9,explicit_lineage,D:\QM\mt5\T3\QM5_10796_XAUUSD_DWX_20260802_211701_run_01.htm,8a2af2d8498879a2dbe070d21c3cde6cf01507bd1ab44690142568a5b1b8efbe,declared_terminal_exact_tag,2020.01.01,2022.12.31,report_period,783,924,1.1800766283524904,131226.99,1000.0,0.14202055194805194,1.28,D:\QM\mt5\T1\QM5_10796_XAUUSD_DWX_20260810_224611_run_01.htm,cd4fe3f32e7940e83df18eb1368f2996f0e1850d488bfb6f986f9dc43eea5df0,declared_terminal_exact_tag,1.04,2273,86388.8,86.39,86.3888,86.3888,raw_report,43.1944,PARK,PARK,dd_above_ceiling:dd_pct=86.39:max=25.0,D:\QM\reports\work_items\a460a6fe-e7a0-440b-bf5f-140339bba41f\QM5_10796\Q05\XAUUSD_DWX\aggregate.json,POSITIVE,COMPLETE
7bd7d932-635d-43f2-a408-50b9c5767aa0,2026-08-10T15:54:38+00:00,QM5_10799,XAUUSD.DWX,1c1927df-bf26-4fad-ad7a-da0948999f1b,PASS,450669e3-83d8-40da-aee5-00be4447308a,explicit_lineage,D:\QM\mt5\T6\QM5_10799_XAUUSD_DWX_20260802_223612_run_01.htm,f95eae0a0e2a36b792a893faa1666c513992fe1bf7d3640672cceedded7a773a,declared_terminal_exact_tag,2020.01.01,2022.12.31,report_period,783,665,0.8492975734355045,39343.54,1000.0,0.059163218045112785,1.08,D:\QM\mt5\T6\QM5_10799_XAUUSD_DWX_20260811_052104_run_01.htm,8ed7f4948c4f2a24c16a38454a600280417ae30d2c61f2dd0c38fc6f696b4b94,declared_terminal_exact_tag,1.09,1705,80919.18,80.92,80.91918,80.91918,raw_report,40.45959,PARK,PARK,dd_above_ceiling:dd_pct=80.92:max=25.0,D:\QM\reports\work_items\7bd7d932-635d-43f2-a408-50b9c5767aa0\QM5_10799\Q05\XAUUSD_DWX\aggregate.json,POSITIVE,COMPLETE
bd23a6dc-b2dd-4985-bd28-4acea8dd5e3b,2026-08-16T08:15:49+00:00,QM5_10118,XAUUSD.DWX,705e9deb-db88-4e93-8cf7-07624a1af7cd,PASS,9955db14-9eba-49e5-bc0c-2e4dbdb38335,explicit_lineage,D:\QM\mt5\T9\QM5_10118_XAUUSD_DWX_20260813_045138_run_01.htm,802b8471bafeecce92bd2a713ac8b0331e756c2dd302cc0800c3dc28678d3fea,declared_terminal_exact_tag,2018.07.02,2022.12.31,report_period,1175,486,0.4136170212765957,-13443.53,1000.0,-0.027661584362139918,0.95,D:\QM\mt5\T3\QM5_10118_XAUUSD_DWX_20260816_082710_run_01.htm,2b7b85b857d315301fc9d3b245ca91d13aede0c69da83009e8198fc569651684,declared_terminal_exact_tag,1.1,884,63295.63,63.3,63.29563,63.295629999999996,raw_report,31.647814999999998,PARK,PARK,dd_above_ceiling:dd_pct=63.30:max=25.0,D:\QM\reports\work_items\bd23a6dc-b2dd-4985-bd28-4acea8dd5e3b\QM5_10118\Q05\XAUUSD_DWX\aggregate.json,NEGATIVE,COMPLETE
e8de39cc-0611-4750-9772-df0ecdc9db2a,2026-08-18T07:41:33+00:00,QM5_10599,XAUUSD.DWX,781c3f45-56ef-4474-8e1f-ccea70a5fe44,PASS_SOFT,3c5cd46d-1312-4dc4-a2cf-9e4916628c74,explicit_lineage,D:\QM\mt5\T8\QM5_10599_XAUUSD_DWX_20260813_105008_run_01.htm,e30adebb6191d86c9185f116fce0f41de2253c770386636568f9f76008c73071,declared_terminal_exact_tag,2018.07.02,2022.12.31,report_period,1175,672,0.5719148936170213,25844.66,1000.0,0.03845931547619048,1.13,,,not_found,,,,25.85,,25.85,verdict_reason_2dp,12.925,PARK,ADVANCE,dd_above_ceiling:dd_pct=25.85:max=25.0,D:\QM\reports\work_items\e8de39cc-0611-4750-9772-df0ecdc9db2a\QM5_10599\Q05\XAUUSD_DWX\aggregate.json,POSITIVE,COMPLETE
c903ce7b-cfd5-4783-b990-84dd31549a17,2026-08-22T20:54:51+00:00,QM5_12347,GDAXI.DWX,7489b4b8-c8b9-4b3d-abe2-e58147e36861,PASS,04ed3fb5-6fc9-47ed-bed6-7882b42c5536,setfile_match,D:\QM\mt5\T5\QM5_12347_GDAXI_DWX_20260620_132140_run_01.htm,b8786228ffe28cdee6e7612f1abe7d3c42f86ce7165da888bbea1322edcecfb4,cross_terminal_exact_tag,2024.07.01,2024.12.31,report_period,132,171,1.2954545454545454,6868.29,1000.0,0.04016543859649123,1.08,D:\QM\mt5\T1\QM5_12347_GDAXI_DWX_20260830_131022_run_01.htm,a8b64f59298f6d34834be987b2f965e87a4c706e904c46a0ddf389a0d6d81156,declared_terminal_exact_tag,1.03,2553,53253.05,53.25,53.25305,53.25305,raw_report,26.626525,PARK,PARK,dd_above_ceiling:dd_pct=53.25:max=25.0,D:\QM\reports\work_items\c903ce7b-cfd5-4783-b990-84dd31549a17\QM5_12347\Q05\GDAXI_DWX\aggregate.json,POSITIVE,COMPLETE
